n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
59474,952,0.016006994653125734,0.8236088995763713,0.677389346468204,58526,0.03288579995682486,False,0.6565126050420168,0.9952229299363057,5.126277297426609e-05,0.9755059480667115,5.611722474431056,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6565126050420168,0.9873617693522907,0.00013670072793137624,0.9671621918678284,14.964593265149482,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9470499243570348,0.000598065684699771,0.9349777102470398,65.47009553502899,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9470499243570348,0.000598065684699771,0.934805154800415,65.47009553502899,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6596638655462185,0.6687965921192758,0.0053142407983322515,0.8390856981277466,581.7485631826861,0.0,1.0,0.0,0.0,0.006688963210702341,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LogReg,fleet,59003,477,3.93,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477
29734,475,0.015974978139503597,0.8195686797224786,0.6766332732809929,29263,0.03288579995682486,False,0.6568421052631579,0.9968051118210862,3.417751802864076e-05,0.9799336194992067,3.7414040426154256,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.9968051118210862,3.417751802864076e-05,0.9799336194992065,3.7414040426154256,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8792134831460674,0.0014696332752315527,0.917768120765686,160.8803738324633,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.871866295264624,0.0015721658293174749,0.9154360890388489,172.10458596030958,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6631578947368421,0.3488372093023256,0.020096380600840767,0.7444629073143005,2199.94557705787,0.0,1.0,0.0,0.0,0.013422818791946308,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LogReg,fleet,59003,477,4.4,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477
59474,952,0.016006994653125734,0.8054069355947157,0.6717190598404197,58526,0.03288579995682486,False,0.657563025210084,1.0,0.0,0.20915859839082906,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.20915859839082906,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9827315541601256,0.00018796350090564233,0.15895002895089316,20.57631573958054,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9811912225705329,0.00020505109189706435,0.1560380169181941,22.446889897724223,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6586134453781513,0.8472972972972973,0.0019308977820306893,0.1262006785264851,211.37487987023644,0.0,1.0,0.0,0.0,0.0033444816053511705,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,RandomForest,fleet,59003,477,76.08,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477
29734,475,0.015974978139503597,0.8000018707694079,0.6734816702390753,29263,0.03288579995682486,False,0.6589473684210526,0.9936507936507937,6.835503605728151e-05,0.1660285568119526,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9936507936507937,6.835503605728151e-05,0.16602855681195258,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8917378917378918,0.001298745685088349,0.13293502283085176,142.17335361938618,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8917378917378918,0.001298745685088349,0.1328292735936381,142.17335361938618,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6610526315789473,0.473604826546003,0.011927953791995625,0.10293805479010087,1305.7500108727836,0.0,1.0,0.0,0.0,0.006711409395973154,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,RandomForest,fleet,59003,477,57.18,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477
59474,952,0.016006994653125734,0.8345197751531492,0.6790967009888322,58526,0.03288579995682486,False,0.6565126050420168,0.9968102073365231,3.417518198284406e-05,0.8310361540533215,3.7411483162873704,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6565126050420168,0.9889240506329114,0.0001196131369399542,0.8216605850915842,13.094019107005797,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9660493827160493,0.00037592700181128465,0.7970659985335758,41.15263147916108,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511705,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.657563025210084,0.9601226993865031,0.00044427736577697276,0.7966132981642785,48.63492811173581,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511705,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.657563025210084,0.8067010309278351,0.0025631386487133044,0.7393955591521054,280.5861237215527,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511705,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,HistGB,fleet,59003,477,12.96,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477
29734,475,0.015974978139503597,0.8437728022506795,0.6829700907638893,29263,0.03288579995682486,False,0.6589473684210526,0.9936507936507937,6.835503605728151e-05,0.8308740221159199,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9936507936507937,6.835503605728151e-05,0.8301915782908457,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8258575197889182,0.00225571618989029,0.7627446545587762,246.93266681261812,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.819371727748691,0.0023582487439762125,0.7590901162002465,258.15687894046437,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6673684210526316,0.41383812010443866,0.0153457055948597,0.6593419292925816,1679.890415134326,0.0,1.0,0.0,0.0,0.026845637583892617,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,HistGB,fleet,59003,477,19.09,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477
59474,952,0.016006994653125734,0.8185364607549728,0.675998067161006,58526,0.03288579995682486,False,0.657563025210084,1.0,0.0,0.7190796732902528,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.7190796732902528,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9984051036682615,1.708759099142203e-05,0.32205328345298767,1.8705741581436852,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9984051036682615,1.708759099142203e-05,0.31422361731529236,1.8705741581436852,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.8816901408450705,0.0014353576432794505,0.09117208421230316,157.12822928406956,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,XGBoost,fleet,59003,477,29.5,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477
29734,475,0.015974978139503597,0.8324068347840791,0.678850538069982,29263,0.03288579995682486,False,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.3026080131530762,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9690402476780186,0.0003417751802864076,0.19846627116203308,37.41404042615426,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.876750700280112,0.0015038107932601934,0.09836751967668533,164.62177787507872,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8598901098901099,0.0017430534194606787,0.09404515475034714,190.8116061733867,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6631578947368421,0.465288035450517,0.012372261526367955,0.02987660840153694,1354.388263426784,0.0,1.0,0.0,0.0,0.013422818791946308,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,XGBoost,fleet,59003,477,34.57,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477
59474,952,0.016006994653125734,0.8224634476325645,0.6775157497687391,58526,0.03288579995682486,False,0.657563025210084,1.0,0.0,0.33212971546813663,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.33212971546813663,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9952305246422893,5.126277297426609e-05,0.18214416531907285,5.611722474431056,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9952305246422893,5.126277297426609e-05,0.1817725901706452,5.611722474431056,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6586134453781513,0.7215189873417721,0.004135197019924131,0.031246282960872892,452.6789462707718,0.0,1.0,0.0,0.0,0.0033444816053511705,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LightGBM,fleet,59003,477,48.94,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477
29734,475,0.015974978139503597,0.8316966619357787,0.6814343828984536,29263,0.03288579995682486,False,0.6589473684210526,1.0,0.0,0.2286949665062203,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.19739143428333125,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9178885630498533,0.0009569705048019413,0.06699767731876906,104.75931319323192,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9072463768115943,0.0010936805769165042,0.0618754673094172,119.72492936369362,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6673684210526316,0.4899536321483771,0.011278580949451451,0.01636600399864257,1234.6633340630906,0.0,1.0,0.0,0.0,0.026845637583892617,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LightGBM,fleet,59003,477,24.51,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477
