n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
123099,23756,0.19298288369523717,0.7585808169506966,0.6619079333462758,99363,0.031993395843505856,False,0.36517090419262505,0.9997695055894894,2.0132269007378476e-05,0.9890050292015077,2.265347785557875,0.9984126984126984,0.445762504586034,0.0018315018315018315,0.2737965584839904,0.59375,0.75,1.0,0.1,1.0,True,0.3863024078127631,0.998042414355628,0.0001811904210664063,0.9850074648857117,20.38813007002088,0.9984126984126984,0.49198972728384494,0.005494505494505495,0.28265446888840484,0.65625,0.8125,1.0,0.2,1.0,True,0.41437952517258797,0.9894461754950247,0.00105694412288737,0.9778462052345276,118.93075874178844,0.9992063492063492,0.5489788430964901,0.014652014652014652,0.29681260437087054,0.6875,0.8125,1.0,0.3,1.0,True,0.4157686479205253,0.9885897307576819,0.0011475393334205732,0.9773924946784973,129.12482377679888,0.9992063492063492,0.5521584933349639,0.016483516483516484,0.2972482393087926,0.6875,0.8125,1.0,0.3,1.0,True,0.4578632766459,0.915264220801077,0.010136597445215063,0.960232675075531,1140.60261002839,0.9992063492063492,0.6234560352207411,0.05128205128205128,0.32614535685762,0.8125,0.875,1.0,0.6,1.0,LogReg,fleet,111250,11887,3.66,A_volume_matched,CTT_Traverse,FS-A,0,cross,111250,11887
61532,11869,0.19289150360787882,0.7565954199346396,0.6604730265997286,49680,0.031993395843505856,False,0.364900160080883,0.9995384260327718,4.027142943438778e-05,0.9889149069786073,4.531471015860419,0.9968203497615262,0.45278864970645794,0.003703703703703704,0.26910781749491425,0.5625,0.6875,1.0,0.1,1.0,True,0.36742775296992164,0.9995415998166399,4.027142943438778e-05,0.9883988499641418,4.531471015860419,0.9968203497615262,0.4589041095890411,0.003703703703703704,0.26983435047951176,0.5625,0.6875,1.0,0.1,1.0,True,0.40525739320920046,0.996271748135874,0.00036244286490949,0.9800266623497009,40.783239142743774,0.9984101748807631,0.5376712328767124,0.011111111111111112,0.28785236849752976,0.6875,0.8125,1.0,0.3,1.0,True,0.406015671075912,0.9954554844040487,0.0004429857237782655,0.9796156883239746,49.84618117446461,0.9984101748807631,0.5391389432485323,0.014814814814814815,0.2881429816913688,0.6875,0.8125,1.0,0.3,1.0,True,0.45538798550846743,0.9220402592971682,0.009202021625757607,0.9609009027481079,1035.4411271241056,0.9984101748807631,0.6264677103718199,0.05555555555555555,0.31981981981981983,0.71875,0.875,1.0,0.3,1.0,LogReg,fleet,111250,11887,3.54,A_volume_matched,CTT_Traverse,FS-A,0,in_f0,111250,11887
123099,23756,0.19298288369523717,0.7748905760416571,0.7134319835404109,99363,0.031993395843505856,False,0.5258881966661054,0.9999199615815592,1.0066134503689238e-05,0.556624866019555,1.1326738927789375,0.9984126984126984,0.7256940198116669,0.018315018315018316,0.3841574094242358,0.75,0.75,1.0,0.6,1.0,True,0.5532076107088736,0.9987081085188844,0.00017112428656271706,0.5135452170032185,19.25545617724194,0.9992063492063492,0.7551669316375199,0.02197802197802198,0.41356276773397227,0.78125,0.8125,1.0,0.6,1.0,True,0.5662148509850143,0.9905007363770251,0.0012985313509759116,0.48366308446889067,146.11493216848294,0.9992063492063492,0.7721658309893604,0.029304029304029304,0.42561533434981486,0.78125,0.8125,1.0,0.6,1.0,True,0.566846270415895,0.9898559247280212,0.0013891265615091149,0.481673698072638,156.30899720349336,0.9992063492063492,0.7726550079491256,0.031135531135531136,0.4263413925796849,0.8125,0.875,1.0,0.6,1.0,True,0.5809900656676208,0.9217925599412276,0.011787443503820098,0.43249611105618857,1326.3611284441358,1.0,0.7967469732175615,0.04212454212454213,0.43592536121396935,0.90625,0.9375,1.0,0.8,1.0,RandomForest,fleet,111250,11887,112.75,A_volume_matched,CTT_Traverse,FS-A,0,cross,111250,11887
61532,11869,0.19289150360787882,0.8039991022345101,0.7236630969747807,49680,0.031993395843505856,False,0.4993681017777403,1.0,0.0,0.5876470995046283,0.0,0.9968203497615262,0.7093933463796478,0.025925925925925925,0.34771868642836384,0.71875,0.6875,1.0,0.6,1.0,True,0.5390513101356474,0.9996875,4.027142943438778e-05,0.5354114041409677,4.531471015860419,0.9968203497615262,0.7385029354207436,0.025925925925925925,0.3988666085440279,0.75,0.75,1.0,0.6,1.0,True,0.5617996461369955,0.9930007446016381,0.0009463785917081126,0.4894774544333571,106.48956887271983,0.9984101748807631,0.7651663405088063,0.025925925925925925,0.4221156640511479,0.78125,0.8125,1.0,0.6,1.0,True,0.5623894178111045,0.9928603302097277,0.0009665143064253066,0.4883618838567402,108.75530438065005,0.9984101748807631,0.7656555772994129,0.02962962962962963,0.4226968904388259,0.78125,0.8125,1.0,0.6,1.0,True,0.5756171539304069,0.943776764746512,0.008195235889897913,0.4391098211882166,922.1543517275953,1.0,0.785958904109589,0.044444444444444446,0.43272304562627145,0.84375,0.8125,1.0,0.8,1.0,RandomForest,fleet,111250,11887,108.5,A_volume_matched,CTT_Traverse,FS-A,0,in_f0,111250,11887
123099,23756,0.19298288369523717,0.80390632548621,0.7487353644295728,99363,0.031993395843505856,False,0.5606162653645395,0.9999249192882349,1.0066134503689238e-05,0.936606198174598,1.1326738927789375,0.9968253968253968,0.7585911703558762,0.2490842490842491,0.41552312495462135,0.78125,0.75,1.0,0.7,1.0,True,0.5751389122747937,0.9995610505523447,6.039680702213543e-05,0.901088614934338,6.796043356673625,0.9976190476190476,0.7798703681056622,0.31135531135531136,0.42539751688085387,0.78125,0.75,1.0,0.7,1.0,True,0.5951338609193467,0.9924885924885924,0.0010770763918947486,0.811555254287806,121.19610652734632,0.9984126984126984,0.8124006359300477,0.43772893772893773,0.4354897262760473,0.84375,0.8125,1.0,0.8,1.0,True,0.5955969018353258,0.991520672740014,0.0012180022749463978,0.8082451241333751,137.05354102625142,0.9984126984126984,0.8132566956096368,0.43956043956043955,0.43570754374500836,0.84375,0.8125,1.0,0.8,1.0,True,0.618538474490655,0.91986978840616,0.012884652164722225,0.6731320550957993,1449.82258275704,0.9984126984126984,0.8592393298275651,0.5183150183150184,0.4448558774413708,0.90625,0.9375,1.0,0.8,1.0,HistGB,fleet,111250,11887,58.46,A_volume_matched,CTT_Traverse,FS-A,0,cross,111250,11887
61532,11869,0.19289150360787882,0.8276497164059575,0.7597234581118438,49680,0.031993395843505856,False,0.5674446035891819,0.9998515439429929,2.013571471719389e-05,0.9181799573701936,2.2657355079302093,0.9968203497615262,0.7707925636007827,0.28888888888888886,0.4183376925312409,0.78125,0.75,1.0,0.7,1.0,True,0.5722470300783554,0.9997056226081837,4.027142943438778e-05,0.9023570822408851,4.531471015860419,0.9968203497615262,0.7771526418786693,0.31851851851851853,0.4216797442603894,0.78125,0.75,1.0,0.7,1.0,True,0.5896874210127222,0.9922030053870144,0.0011074643094456638,0.8144189563075729,124.61545293616152,0.9968203497615262,0.8023483365949119,0.4444444444444444,0.4318512060447544,0.8125,0.8125,1.0,0.7,1.0,True,0.5902771926868312,0.9912280701754386,0.001248414312466021,0.8107344790653057,140.47560149167296,0.9968203497615262,0.803082191780822,0.44814814814814813,0.43228712583551293,0.8125,0.8125,1.0,0.7,1.0,True,0.609739657932429,0.9361014099081619,0.00994704307029378,0.6918524404729036,1119.2733409175235,0.9968203497615262,0.8380626223091977,0.5074074074074074,0.44274920081371694,0.875,0.875,1.0,0.8,1.0,HistGB,fleet,111250,11887,47.95,A_volume_matched,CTT_Traverse,FS-A,0,in_f0,111250,11887
123099,23756,0.19298288369523717,0.8029941943353147,0.7522571398319584,99363,0.031993395843505856,False,0.44283549419094126,1.0,0.0,0.9937503933906556,0.0,0.8888888888888888,0.619298031062737,0.027472527472527472,0.31372976112684237,0.71875,0.75,0.75,0.6,1.0,True,0.4997474322276477,0.9988221436984688,0.00014092588305164932,0.9858583807945251,15.857434498905123,0.9714285714285714,0.6913293383881619,0.06776556776556776,0.35997967036956363,0.78125,0.75,1.0,0.7,1.0,True,0.5450833473648763,0.9929453262786596,0.0009260843743394099,0.9654630422592163,104.20599813566226,0.9920634920634921,0.7494191023602789,0.17216117216117216,0.3976620924998185,0.8125,0.8125,1.0,0.7,1.0,True,0.5471459841724196,0.9923652466025348,0.0010066134503689237,0.9636968374252319,113.26738927789374,0.9936507936507937,0.7525987525987526,0.17216117216117216,0.3991868147825456,0.8125,0.8125,1.0,0.7,1.0,True,0.610456305775383,0.9324246126149296,0.010579507363377389,0.7702019214630127,1190.4402613106633,0.9976190476190476,0.8485997309526722,0.4157509157509158,0.4413707979379946,0.875,0.875,1.0,0.8,1.0,XGBoost,fleet,111250,11887,17.4,A_volume_matched,CTT_Traverse,FS-A,0,cross,111250,11887
61532,11869,0.19289150360787882,0.8236304553843805,0.7632938663754202,49680,0.031993395843505856,False,0.4810009267840593,0.9992998424645545,8.054285886877555e-05,0.9907386302947999,9.062942031720837,0.9459459459459459,0.6866438356164384,0.05555555555555555,0.3330427201394943,0.71875,0.75,1.0,0.5,1.0,True,0.500716151318561,0.9986556881196438,0.0001610857177375511,0.9871078133583069,18.125884063441674,0.9666136724960255,0.7108610567514677,0.06296296296296296,0.35047951176983433,0.71875,0.75,1.0,0.5,1.0,True,0.5473081135731738,0.9917557251908397,0.0010873285947284698,0.9646735191345215,122.3497174282313,0.9936406995230525,0.7590508806262231,0.18518518518518517,0.3949433304272014,0.8125,0.8125,1.0,0.7,1.0,True,0.5493301878844048,0.991032071743426,0.0011880071683144392,0.9624652862548828,133.67839496788235,0.9936406995230525,0.7614970645792564,0.18888888888888888,0.3968323161871549,0.8125,0.8125,1.0,0.7,1.0,True,0.6041789535765439,0.9399659195176301,0.0092221573404748,0.7941406965255737,1037.7068626320358,0.9968203497615262,0.8319471624266145,0.3962962962962963,0.44115082824760243,0.875,0.875,1.0,0.8,1.0,XGBoost,fleet,111250,11887,16.62,A_volume_matched,CTT_Traverse,FS-A,0,in_f0,111250,11887
123099,23756,0.19298288369523717,0.795496266931053,0.7468578661435389,99363,0.031993395843505856,False,0.5359067183027446,0.9997644102403016,3.0198403511067714e-05,0.9485480791526902,3.3980216783368125,0.9952380952380953,0.7408585055643879,0.22527472527472528,0.38452043853917084,0.78125,0.75,1.0,0.7,1.0,True,0.558090587641017,0.9994722955145119,7.046294152582466e-05,0.9152024402523308,7.9287172494525615,0.996031746031746,0.7697199461905344,0.27289377289377287,0.4036883758077398,0.78125,0.75,1.0,0.7,1.0,True,0.5924818993096481,0.9921753841815875,0.0011173409299095054,0.7908909409285354,125.72680209846206,0.9968253968253968,0.8230402348049407,0.36446886446886445,0.42764829739345095,0.8125,0.8125,1.0,0.7,1.0,True,0.593155413369254,0.9915558370276546,0.0012079361404427086,0.786761404326092,135.9208671334725,0.9968253968253968,0.8242631772043537,0.36813186813186816,0.42793872068539895,0.8125,0.8125,1.0,0.7,1.0,True,0.6200959757534938,0.9216667709441282,0.012602800398618927,0.5616848753747005,1418.1077137592297,0.9984126984126984,0.8723248135012841,0.46886446886446886,0.44173382705292963,0.84375,0.875,1.0,0.7,1.0,LightGBM,fleet,111250,11887,44.63,A_volume_matched,CTT_Traverse,FS-A,0,cross,111250,11887
61532,11869,0.19289150360787882,0.8202251580743095,0.7590164735164765,49680,0.031993395843505856,False,0.5028224787260932,1.0,0.0,0.972705152395095,0.0,0.9936406995230525,0.7155088062622309,0.16666666666666666,0.34481255448997383,0.75,0.75,1.0,0.6,1.0,True,0.5603673434998736,0.9992487980769231,0.00010067857358596944,0.9034986722296742,11.328677539651046,0.9952305246422893,0.7781311154598826,0.2740740740740741,0.4024992734670154,0.78125,0.75,1.0,0.7,1.0,True,0.5835369449827281,0.9955440563461262,0.0006242071562330105,0.8131144495972501,70.23780074583648,0.9952305246422893,0.8094422700587084,0.337037037037037,0.4213891310665504,0.8125,0.8125,1.0,0.7,1.0,True,0.5848007414272475,0.9952681388012619,0.0006644785856673983,0.8082217222994947,74.76927176169691,0.9952305246422893,0.8113992172211351,0.34074074074074073,0.42226097064806745,0.8125,0.8125,1.0,0.7,1.0,True,0.6136995534585896,0.943156804350641,0.008839578760848116,0.5956160723399994,994.6578879813619,0.9968203497615262,0.8542074363992173,0.45555555555555555,0.4420226678291194,0.84375,0.875,1.0,0.7,1.0,LightGBM,fleet,111250,11887,31.35,A_volume_matched,CTT_Traverse,FS-A,0,in_f0,111250,11887
