n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
123099,23756,0.19298288369523717,0.9782336328699595,0.9607488704289372,99363,0.031993395843505856,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6913621821855531,1.0,0.0,0.9938308000564575,0.0,1.0,0.9760303289715054,0.6043956043956044,0.4975677049299354,0.59375,0.75,1.0,0.1,1.0,True,0.8404192625021047,0.9982999149957498,0.0003422485731254341,0.8467361927032471,38.51091235448388,1.0,0.9996331172801761,0.7087912087912088,0.7365134683801641,0.9375,1.0,1.0,0.8,1.0,True,0.844839198518269,0.9976140769460184,0.0004831744561770834,0.8412172198295593,54.368346853389,1.0,0.9996331172801761,0.7106227106227107,0.7440644739708124,0.9375,1.0,1.0,0.8,1.0,True,0.8949739013301903,0.9534935868687775,0.01043858148032574,0.75741046667099,1174.5828268117582,1.0,0.9996331172801761,0.7765567765567766,0.8279241995208015,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.56,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9994209307397455,0.9992494235300063,99363,0.031993395843505856,False,0.5512712577875063,1.0,0.0,0.9792159911139907,0.0,0.996031746031746,0.5928824752354164,0.5842490842490843,0.48457126261526173,0.65625,0.875,1.0,0.1,1.0,True,0.9384997474322276,1.0,0.0,0.8564378387016199,0.0,1.0,0.9827565121682769,0.7216117216117216,0.9151963987511799,1.0,1.0,1.0,1.0,1.0,True,0.9981057417073581,0.9988625831999326,0.00027178563159960945,0.319831819184769,30.582195105031314,1.0,0.9998777057600587,0.9194139194139194,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9981899309648089,0.9986944070080862,0.0003120501696143664,0.3099339979141419,35.11289067614707,1.0,0.9998777057600587,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,True,0.998652971880788,0.9597863904846671,0.010005737696667103,0.18800040704860457,1125.8778494222638,1.0,0.9998777057600587,0.9432234432234432,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,154.72,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9997202579865357,0.9995346384473309,99363,0.031993395843505856,False,0.8687068530055565,1.0,0.0,0.9951338590279082,0.0,1.0,0.9995108230402348,0.6227106227106227,0.7887896609308066,0.90625,1.0,1.0,0.7,1.0,True,0.9356794073076276,1.0,0.0,0.9850935005907394,0.0,1.0,0.9997554115201174,0.673992673992674,0.9021273506135192,0.96875,1.0,1.0,0.9,1.0,True,0.9982320255935343,0.9984001347254968,0.00038251311114019103,0.20592493039339235,43.04160792559962,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9982320255935343,0.000422777649154948,0.1846396458815087,47.57230349671537,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9988634450244149,0.9614278189700579,0.009582960047512155,0.03062028097428564,1078.3055459255486,1.0,0.9998777057600587,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,49.39,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9996083516895937,0.9994274493560759,99363,0.031993395843505856,False,0.823707694898131,1.0,0.0,0.9980346560478212,0.0,1.0,0.9948636419224655,0.6135531135531136,0.714296086546141,0.8125,1.0,1.0,0.4,1.0,True,0.9534012460010103,1.0,0.0,0.9796229004859924,0.0,1.0,0.9996331172801761,0.6904761904761905,0.9321135555071517,1.0,1.0,1.0,1.0,1.0,True,0.9978110793062805,0.998693911944386,0.0003120501696143664,0.2729215621948242,35.11289067614707,1.0,0.9998777057600587,0.9175824175824175,0.999564365062078,1.0,1.0,1.0,1.0,1.0,True,0.9979373631924566,0.998273538824322,0.0004127115146512588,0.2554682791233063,46.439629603936446,1.0,0.9998777057600587,0.9194139194139194,0.9997095767080519,1.0,1.0,1.0,1.0,1.0,True,0.9987371611382387,0.9610726293190748,0.009673555258045358,0.06389610469341278,1088.499610960559,1.0,0.9998777057600587,0.9468864468864469,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,16.31,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9997166850935346,0.9995405445441331,99363,0.031993395843505856,False,0.8310742549250716,1.0,0.0,0.9978734331887077,0.0,1.0,0.9919285801638743,0.6062271062271062,0.7290350686125027,0.75,1.0,1.0,0.2,1.0,True,0.9488971207273952,1.0,0.0,0.967918325965542,0.0,1.0,0.9997554115201174,0.6996336996336996,0.9239090975096202,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9986524046155142,0.0003221163041180556,0.10409454997197223,36.245564568926,1.0,0.9998777057600587,0.9267399267399268,0.999927394177013,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9980639730639731,0.00046304218716970496,0.09033638695336009,52.10299906783113,1.0,0.9998777057600587,0.9267399267399268,0.999927394177013,1.0,1.0,1.0,1.0,1.0,True,0.9990318235393164,0.9595681882505155,0.010066134503689239,0.01517277455485987,1132.6738927789377,1.0,0.9998777057600587,0.9597069597069597,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,42.29,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9990137722092949,0.9987675966973704,99363,0.031993395843505856,False,0.5543441656844587,1.0,0.0,62500.00000000001,0.0,1.0,0.7260609025314908,0.6043956043956044,0.40964205329267406,0.4375,0.5625,0.5,0.1,1.0,True,0.8578043441656844,0.9999509298787967,1.0066134503689238e-05,24017.254365211425,1.1326738927789375,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9991573270413753,0.00020132269007378477,5.80426067739117,22.65347785557875,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.998904802021904,0.0002617194970959202,4.988486311792233,29.449521212252375,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9987785873731205,0.0002919179006069879,4.12832666504798,32.84754289058919,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,150000,75000,0.39,C_feature_ablation,CTT_Traverse,FS-B34,0
123099,23756,0.19298288369523717,0.9814408009502715,0.96554658302744,99363,0.031993395843505856,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6908570466408487,1.0,0.0,0.9910379648208618,0.0,1.0,0.9754188577717989,0.6043956043956044,0.49705946416902635,0.59375,0.75,1.0,0.1,1.0,True,0.852247853173935,0.9978314440611139,0.0004429099181623265,0.7216085195541382,49.83765128227326,1.0,0.9995108230402348,0.7142857142857143,0.756770492993538,0.96875,1.0,1.0,0.9,1.0,True,0.8541842060953022,0.9975910722186716,0.0004932405906807727,0.7166336178779602,55.50102074616794,1.0,0.9996331172801761,0.7142857142857143,0.7600377550279532,0.96875,1.0,1.0,0.9,1.0,True,0.9053712746253578,0.9547230113636364,0.010267457193763024,0.5969802737236023,1155.3273706345162,1.0,0.9996331172801761,0.7948717948717948,0.8451317795687214,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.34,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.9995469322097468,0.999373508165674,99363,0.031993395843505856,False,0.6535191109614413,1.0,0.0,0.9613892476447822,0.0,0.996031746031746,0.7473401002812767,0.6007326007326007,0.5685761998112249,0.71875,1.0,1.0,0.1,1.0,True,0.9432985351069204,1.0,0.0,0.8463904085359086,0.0,1.0,0.99058334352452,0.7142857142857143,0.919117113192478,0.96875,1.0,1.0,0.9,1.0,True,0.9978110793062805,0.9976430976430977,0.0005637035322065973,0.42415455128004603,63.42973799562049,1.0,0.9998777057600587,0.9065934065934066,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9980215524499074,0.9971400933675401,0.0006844971462508682,0.4048247478277452,77.02182470896776,1.0,0.9998777057600587,0.9157509157509157,1.0,1.0,1.0,1.0,1.0,1.0,True,0.998652971880788,0.9559576097030261,0.011002285012532337,0.18302443213995068,1238.0125648073786,1.0,0.9998777057600587,0.9432234432234432,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,158.36,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.9996957112963609,0.9994151776885132,99363,0.031993395843505856,False,0.8687910422630072,1.0,0.0,0.9945469046745318,0.0,1.0,0.9991439403204109,0.6282051282051282,0.7889348725767806,0.9375,1.0,1.0,0.8,1.0,True,0.9085704664084863,1.0,0.0,0.9868584793163657,0.0,1.0,0.9997554115201174,0.6575091575091575,0.8560226530167719,0.96875,1.0,1.0,0.9,1.0,True,0.9807627546725037,0.9974313968919902,0.0006039680702213543,0.8444214676147969,67.96043356673626,1.0,0.9998777057600587,0.8076923076923077,0.9745153561315617,1.0,1.0,1.0,1.0,1.0,True,0.9820676881629904,0.9970937686981793,0.0006844971462508682,0.8338288028722655,77.02182470896776,1.0,0.9998777057600587,0.8168498168498168,0.9764031075292239,1.0,1.0,1.0,1.0,1.0,True,0.9987792557669641,0.964120276310443,0.008888396766757598,0.03978567681407473,1000.1510473238019,1.0,0.9998777057600587,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,59.88,C_feature_ablation,CTT_Traverse,FS-B,0
123099,23756,0.19298288369523717,0.9996910038657634,0.9992708079298847,99363,0.031993395843505856,False,0.8277066846270416,1.0,0.0,0.9975740313529969,0.0,1.0,0.9931515225632873,0.6153846153846154,0.7221375154287374,0.875,1.0,1.0,0.6,1.0,True,0.9108014817309311,0.9998613678373383,3.0198403511067714e-05,0.9882948398590088,3.3980216783368125,1.0,0.9996331172801761,0.6501831501831502,0.8602337907500182,0.96875,1.0,1.0,0.9,1.0,True,0.9629146320929449,0.9973404255319149,0.0006140342047250435,0.9527986645698547,69.0931074595152,1.0,0.9997554115201174,0.7289377289377289,0.9469251433965004,1.0,1.0,1.0,1.0,1.0,True,0.9661559185047988,0.9962237944355223,0.0008757537018209637,0.9437141418457031,98.54262867176756,1.0,0.9998777057600587,0.7435897435897436,0.9518623393596166,1.0,1.0,1.0,1.0,1.0,True,0.9988213503956895,0.9584747132008402,0.010347986269792537,0.03532543405890465,1164.3887617767477,1.0,0.9998777057600587,0.9505494505494505,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,17.09,C_feature_ablation,CTT_Traverse,FS-B,0
