n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
9085,864,0.09510181618051734,0.14968511648127875,0.0798956497907641,8224,0.0455447607482506,False,0.0,0.0,0.0,1132.8283036823223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1132.828303682322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0023148148148148147,0.07692307692307693,0.0029193528767789806,0.8780901528101925,230.75476045415417,0.0,0.001597444089456869,0.0,0.0,0.0047169811320754715,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.0023148148148148147,0.6666666666666666,0.0001216397031991242,1.3217696177702702,9.614781685589758,0.0,0.001597444089456869,0.0,0.0,0.0047169811320754715,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.008101851851851851,0.04827586206896552,0.016786279041479137,0.6400684158109917,1326.8398726113865,0.0,0.001597444089456869,0.0,1.0,0.014150943396226415,0.5,0.0,1.0,0.0,1.0,1.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:Periodicity,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.8738425925925926,0.771680782323325,8224,0.0455447607482506,False,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:UnseenID,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.826835886640807,0.767296461122359,8224,0.0455447607482506,False,0.7256944444444444,0.9920886075949367,0.000608198515995621,2.5856020801596253,48.07390842794879,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9920886075949367,0.000608198515995621,2.585602080159625,48.07390842794879,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9751166407465007,0.001946235251185987,1.7789860845683942,153.83650696943613,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9827586206896551,0.0013380367351903662,2.1066832841271115,105.76259854148734,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.8769230769230769,0.01070429388152293,1.2096479378550282,846.1007883318987,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:BusLoad,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.8810704406510877,0.7808537476510807,8224,0.0455447607482506,False,0.7245370370370371,1.0,0.0,1.5767588270307453,0.0,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,1.0,0.0,1.5767588270307453,0.0,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,0.9675425038639877,0.0025544337671816082,1.551560521676077,201.9104153973849,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,1.0,0.0,1.576758827030745,0.0,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,0.8694444444444445,0.011434132100717673,1.3900282026752446,903.7894784454371,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:IDEntropy,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.19701781402190416,0.08988581382395164,8224,0.0455447607482506,False,0.0,0.0,0.0003649191095973726,-0.23728813559322032,28.84434505676927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0009731176255929935,-0.23728813559322035,76.91825348471806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0015813161415886145,-0.2711864406779661,124.99216191266684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0015813161415886145,-0.2711864406779661,124.99216191266684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.016203703703703703,0.1794871794871795,0.007784941004743948,-0.4067796610169492,615.3460278777445,0.0,0.0,0.0,0.0,0.0660377358490566,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:Hamming,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.9827864333436952,0.9757706741377602,8224,0.0455447607482506,False,0.8460648148148148,1.0,0.0,1790.1880629570371,0.0,0.0,0.8993610223642172,0.0,0.0,0.7924528301886793,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.8460648148148148,1.0,0.0,1790.188062957037,0.0,0.0,0.8993610223642172,0.0,0.0,0.7924528301886793,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9664351851851852,0.9928656361474435,0.0007298382191947452,17.46807753047446,57.68869011353854,0.0,0.9984025559105432,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9664351851851852,0.9940476190476191,0.000608198515995621,17.70496310365144,48.07390842794879,0.0,0.9984025559105432,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9675925925925926,0.8903088391906283,0.012528889429509792,5.176373001053267,990.322513615745,0.0,0.9984025559105432,0.0,0.0,0.9952830188679245,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:Staleness,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.9830818742200417,0.88714373785511,8224,0.0455447607482506,False,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7303240740740741,0.7987341772151899,0.019340712808660745,46875.0,1528.7502880087713,0.0,1.0,0.15384615384615385,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:Combined,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.8755787037037037,0.7748227899060316,8224,0.0455447607482506,False,0.7511574074074074,1.0,0.0,11.8177308288574,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.7511574074074074,1.0,0.0,11.817730828857398,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.7511574074074074,1.0,0.0,11.817730828857398,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.7511574074074074,1.0,0.0,11.817730828857398,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.7511574074074074,1.0,0.0,11.817730828857398,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:CombinedQ,fleet,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.14968511648127875,0.0798956497907641,8224,0.0455447607482506,False,0.0,0.0,0.0,7292.742042848419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,7292.742042848418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0023148148148148147,0.07692307692307693,0.0029193528767789806,6.702295244890831,230.75476045415417,0.0,0.001597444089456869,0.0,0.0,0.0047169811320754715,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.0023148148148148147,0.6666666666666666,0.0001216397031991242,9.55813318061076,9.614781685589758,0.0,0.001597444089456869,0.0,0.0,0.0047169811320754715,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.008101851851851851,0.04827586206896552,0.016786279041479137,5.170216903252818,1326.8398726113865,0.0,0.001597444089456869,0.0,1.0,0.014150943396226415,0.5,0.0,1.0,0.0,1.0,1.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:Periodicity@target,target,0.0,0.0,150000,75000,40
9085,864,0.09510181618051734,0.8738425925925926,0.771680782323325,8224,0.0455447607482506,False,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.7476851851851852,1.0,0.0,5e-324,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,cross_domain,0,CIDv2_RenaultClio,FS-B,Rule:UnseenID@target,target,0.0,0.0,150000,75000,40
