n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[spoofing]@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[spoofing]@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[spoofing]@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
98401,12610,0.12814910417577058,0.4381920529790918,0.10894342818994943,85805,0.04424300176620483,True,0.0,0.0,0.0,0.6215231822752644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,5.828117168467555e-05,0.6097291458614612,4.7422690524831825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0010257486216502896,0.5968065740985634,83.463935323704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0008275926379223928,0.5982867937909387,67.34022054526119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0007930214115781126,0.016286644951140065,0.007040365539508806,0.5785030761784593,572.8661015399686,0.0029980013324450365,0.00046253469010175765,0.0,0.0,0.10714285714285714,0.5,0.0,0.0,0.5,cross_domain,0,CTT_Impala,FS-A,IForest,fleet,1.64,3.72,150000,75000,76
98401,12610,0.12814910417577058,0.7736332873434343,0.5788734594592814,85805,0.04424300176620483,True,0.012926249008723235,1.0,0.0,0.7290953485237179,0.0,0.05429713524317122,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,True,0.23417922283901665,0.9993231810490694,2.331246867387022e-05,0.6807874977617394,1.8969076209932731,0.9786808794137242,0.0,0.00303951367781155,0.0013377926421404682,0.21428571428571427,1.0,0.07142857142857142,0.125,0.0,True,0.24488501189532116,0.9938847763115546,0.0002214684524017671,0.6258887709351829,18.020622399436096,0.9966688874083944,0.00046253469010175765,0.022289766970618033,0.006465997770345597,0.4642857142857143,1.0,0.5,0.125,0.5,True,0.24337827121332276,0.9948136142625608,0.00018649974939096177,0.6331426195821924,15.175260967946185,0.9966688874083944,0.00046253469010175765,0.0182370820668693,0.004905239687848384,0.42857142857142855,1.0,0.42857142857142855,0.125,0.5,True,0.37636796193497224,0.9155092592592593,0.005105430639577578,0.532091277498725,415.4227689975268,0.9976682211858761,0.016651248843663275,0.5336035123269166,0.030100334448160536,0.7857142857142857,1.0,0.7857142857142857,0.75,0.5,cross_domain,0,CTT_Impala,FS-A,IForest@target,target,1.66,4.94,150000,75000,76
98401,12610,0.12814910417577058,0.7715121350874183,0.5863691136052469,85805,0.04424300176620483,True,0.22077716098334654,1.0,0.0,0.998053789138794,0.0,0.447035309793471,0.005087881591119334,0.4795677136102668,0.002452619843924192,0.6071428571428571,1.0,0.6428571428571429,0.375,0.5,True,0.27977795400475813,0.997737556561086,9.324987469548088e-05,0.9961487054824829,7.587630483973093,0.6275816122584943,0.015263644773358002,0.5339412360688957,0.006688963210702341,0.6785714285714286,1.0,0.6428571428571429,0.625,0.5,True,0.3444885011895321,0.9753030983385721,0.0012821857770628621,0.991672694683075,104.32991915463002,0.8174550299800133,0.04764107308048104,0.5734549138804458,0.019843924191750278,0.7857142857142857,1.0,0.8571428571428571,0.625,0.5,True,0.33980967486122127,0.9789810372401188,0.00107237355899803,0.9921283721923828,87.25775056569057,0.807128580946036,0.0425531914893617,0.569402228976697,0.018729096989966554,0.7857142857142857,1.0,0.8571428571428571,0.625,0.5,True,0.40737509912767644,0.8533222591362126,0.010292454919513703,0.98078852891922,837.4847146685302,0.9467021985343105,0.0971322849213691,0.6291793313069909,0.049498327759197325,0.9642857142857143,1.0,1.0,0.875,1.0,cross_domain,0,CTT_Impala,FS-A,LogReg,fleet,2.76,0.14,150000,75000,76
98401,12610,0.12814910417577058,0.6518554954906688,0.43007821256058637,85805,0.04424300176620483,True,0.2485329103885805,0.9996810207336523,1.165623433693511e-05,0.8115740318490984,0.9484538104966366,0.9953364423717521,0.014338575393154487,0.028031070584262074,0.007134894091415831,0.7142857142857143,1.0,0.7142857142857143,0.5,1.0,True,0.25923869944488503,0.9966463414634147,0.0001282185777062862,0.799184403081327,10.432991915463,0.9960026648900733,0.02497687326549491,0.05336035123269166,0.014938684503901895,0.7857142857142857,1.0,0.8571428571428571,0.5,1.0,True,0.27922283901665346,0.9691714836223507,0.0013054982457367324,0.7826713081517314,106.22682677562331,0.9960026648900733,0.04764107308048104,0.09929078014184398,0.02987736900780379,0.8928571428571429,1.0,0.8571428571428571,0.875,1.0,True,0.27771609833465505,0.9741307371349096,0.0010840297933349652,0.7841616901996548,88.2062043761872,0.9960026648900733,0.04394079555966698,0.09827760891590678,0.028093645484949834,0.8928571428571429,1.0,0.8571428571428571,0.875,1.0,True,0.2977795400475813,0.8020076890217855,0.010805329230338846,0.7674411065464841,879.216682330382,0.9960026648900733,0.08371877890841813,0.12394461330631544,0.048383500557413604,0.9285714285714286,1.0,0.8571428571428571,1.0,1.0,cross_domain,0,CTT_Impala,FS-A,RandomForest,fleet,74.51,2.01,150000,75000,76
98401,12610,0.12814910417577058,0.669428905802846,0.43832902175842875,85805,0.04424300176620483,True,0.24813639968279144,0.9996805111821087,1.165623433693511e-05,0.6845269217000274,0.9484538104966366,0.9963357761492339,0.024514338575393153,0.018574805808848363,0.006688963210702341,0.7142857142857143,1.0,0.8571428571428571,0.375,0.5,True,0.25622521808088816,0.996299722479186,0.0001398748120432213,0.6750764952739571,11.381445725959637,0.9963357761492339,0.04209065679925995,0.03343465045592705,0.011148272017837236,0.7857142857142857,1.0,0.8571428571428571,0.5,1.0,True,0.2661379857256146,0.9679838477069512,0.0012938420113997972,0.6628990044443638,105.27837296512666,0.997001998667555,0.05735430157261795,0.05268490374873354,0.01850613154960981,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.2647898493259318,0.9714867617107943,0.0011423109650196407,0.6639620998116759,92.94847342867038,0.9966688874083944,0.05689176688251619,0.04998311381290105,0.0169453734671126,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.28778747026169704,0.807161921708185,0.01010595517012274,0.6467321428571426,822.3094537005838,0.997001998667555,0.08279370952821462,0.09017223910840932,0.042363433667781496,0.8571428571428571,1.0,0.9285714285714286,0.625,1.0,cross_domain,0,CTT_Impala,FS-A,ExtraTrees,fleet,52.21,2.17,150000,75000,76
98401,12610,0.12814910417577058,0.6161789064106156,0.30083278017682813,85805,0.04424300176620483,True,0.02973830293417922,0.9920634920634921,3.4968703010805326e-05,0.9999247393451419,2.845361431489909,0.03764157228514324,0.05365402405180388,0.03917595406957109,0.006688963210702341,0.6785714285714286,1.0,0.6428571428571429,0.5,1.0,True,0.04885011895321174,0.9871794871794872,9.324987469548088e-05,0.9998968052844949,7.587630483973093,0.08427714856762158,0.08048103607770583,0.0469436001350895,0.011148272017837236,0.75,1.0,0.7142857142857143,0.625,1.0,True,0.0838223632038065,0.9088564058469476,0.0012355608397151216,0.9998534511269697,100.53610391264347,0.18687541638907396,0.11008325624421832,0.05876393110435663,0.018729096989966554,0.75,1.0,0.7142857142857143,0.625,1.0,True,0.08041237113402062,0.9226569608735213,0.0009907799186394844,0.9998570952582846,80.61857389221412,0.1755496335776149,0.10823311748381129,0.05707531239446133,0.018729096989966554,0.75,1.0,0.7142857142857143,0.625,1.0,True,0.14036478984932593,0.6616822429906543,0.010548892074926274,0.9997909262242719,858.350698499456,0.3624250499666889,0.14662349676225717,0.0729483282674772,0.03322185061315496,0.8571428571428571,1.0,0.8571428571428571,0.75,1.0,cross_domain,0,CTT_Impala,FS-A,HistGB,fleet,54.48,6.02,150000,75000,76
98401,12610,0.12814910417577058,0.5861549161980071,0.25958504290936796,85805,0.04424300176620483,True,0.009119746233148296,0.9913793103448276,1.165623433693511e-05,0.9999871253967285,0.9484538104966366,0.02731512325116589,0.002312673450508788,0.008780817291455589,0.0004459308807134894,0.32142857142857145,0.25,0.42857142857142855,0.125,0.5,True,0.04559873116574147,0.9745762711864406,0.00017484351505402666,0.9999305009841919,14.226807157449551,0.08094603597601599,0.06706753006475485,0.0425531914893617,0.013600891861761426,0.5,0.25,0.5,0.5,1.0,True,0.08921490880253767,0.8935663224781573,0.0015619354011493047,0.9997262358665466,127.09281060654929,0.11092604930046636,0.15356151711378355,0.10131712259371833,0.03567447045707915,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.0859635210150674,0.9124579124579124,0.0012122483710412515,0.999756395816803,98.63919629165021,0.10626249167221852,0.14384828862164661,0.0999662276258021,0.03522853957636567,0.75,0.75,0.8571428571428571,0.5,1.0,True,0.12204599524187153,0.6205645161290323,0.010968516511055938,0.999528169631958,892.4950356773351,0.18121252498334445,0.21230342275670674,0.11685241472475515,0.042363433667781496,0.8928571428571429,1.0,1.0,0.625,1.0,cross_domain,0,CTT_Impala,FS-A,XGBoost,fleet,15.85,0.85,150000,75000,76
98401,12610,0.12814910417577058,0.659414408164962,0.44670785484832387,85805,0.04424300176620483,True,0.031007137192704204,1.0,0.0,0.9999032990603134,0.0,0.11725516322451698,0.005087881591119334,0.009456264775413711,0.0,0.35714285714285715,1.0,0.35714285714285715,0.0,0.5,True,0.18921490880253766,0.9962421711899792,0.00010490610903241599,0.9996791704324072,8.53608429446973,0.6489007328447701,0.1026827012025902,0.05369807497467072,0.012709030100334449,0.7142857142857143,1.0,0.7142857142857143,0.5,1.0,True,0.25923869944488503,0.9611878859159071,0.0015386229324754344,0.9994413722006799,125.19590298555603,0.8144570286475683,0.1998149861239593,0.0878081729145559,0.0294314381270903,0.8928571428571429,1.0,0.9285714285714286,0.75,1.0,True,0.25400475812846945,0.9694309927360775,0.001177279668030446,0.9994637583608921,95.79383486016029,0.8054630246502332,0.18917668825161887,0.08409321175278622,0.028316610925306577,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.3015860428231562,0.8305306835553614,0.009045237845461645,0.9991562586628607,736.0001569453899,0.8920719520319786,0.2567067530064755,0.1182033096926714,0.04905239687848383,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,cross_domain,0,CTT_Impala,FS-A,LightGBM,fleet,60.14,3.41,150000,75000,76
98401,12610,0.12814910417577058,0.6635977733578988,0.40025441863216316,85805,0.04424300176620483,True,0.044091990483743064,1.0,0.0,0.9998036102880522,0.0,0.1552298467688208,0.012025901942645698,0.017223910840932118,0.002898550724637681,0.6428571428571429,1.0,0.6428571428571429,0.5,0.5,True,0.058049167327517845,0.9932157394843962,5.828117168467555e-05,0.9997137641732763,4.7422690524831825,0.20153231179213857,0.018501387604070305,0.021952043228638973,0.004905239687848384,0.7142857142857143,1.0,0.7142857142857143,0.625,0.5,True,0.1232355273592387,0.9338942307692307,0.0012821857770628621,0.9991970951324344,104.32991915463002,0.40872751499000665,0.061517113783533764,0.04221546774738264,0.015384615384615385,0.7857142857142857,1.0,0.7857142857142857,0.75,0.5,True,0.11030927835051546,0.9469026548672567,0.0009091862782809385,0.9993256832625582,73.97939721873765,0.3680879413724184,0.04949121184088807,0.03985140155352921,0.013600891861761426,0.75,1.0,0.7857142857142857,0.625,0.5,True,0.24203013481363997,0.74950884086444,0.011889359023673812,0.9966847912024724,967.4228867065692,0.7514990006662225,0.18270120259019426,0.06889564336372847,0.04392419175027871,0.9642857142857143,1.0,0.9285714285714286,1.0,1.0,cross_domain,0,CTT_Impala,FS-A,CatBoost,fleet,33.13,0.15,150000,75000,76
98401,12610,0.12814910417577058,0.7002795966417881,0.5392068732238788,85805,0.04424300176620483,True,0.3628865979381443,0.9993448351168377,3.4968703010805326e-05,0.9999996423721313,2.845361431489909,0.9457028647568287,0.030064754856614247,0.5444106720702465,0.013377926421404682,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.37057890563045204,0.9989311671654553,5.828117168467555e-05,0.9999991655349731,4.7422690524831825,0.9663557628247835,0.03885291396854764,0.5447483958122256,0.016722408026755852,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.3856463124504362,0.9824242424242424,0.0010140923873133546,0.9999932050704956,82.51548151320739,0.9920053297801465,0.06706753006475485,0.5454238432961838,0.027870680044593088,0.5,1.0,0.5,0.25,0.5,True,0.384456780333069,0.9857665717771452,0.0008159364035854577,0.9999945163726807,66.39176673476456,0.9903397734843438,0.06521739130434782,0.5450861195542046,0.026755852842809364,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.4011895321173672,0.8864552304187839,0.0075532398503339515,0.9999526739120483,614.5980692018205,0.997001998667555,0.10222016651248844,0.5538669368456602,0.045707915273132664,0.75,1.0,0.7142857142857143,0.625,1.0,cross_domain,0,CTT_Impala,FS-A,NN:MLP,fleet,148.43,0.35,150000,75000,76
98401,12610,0.12814910417577058,0.5171560764508839,0.13210091687232733,85805,0.04424300176620483,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross_domain,0,CTT_Impala,FS-A,NN:CNN1D,fleet,166.0,3.69,150000,75000,76
98401,12610,0.12814910417577058,0.9030255706630275,0.8146104173492258,85805,0.04424300176620483,True,0.05448057097541634,1.0,0.0,0.9999910593032837,0.0,0.10159893404397069,0.0,0.12901046943600136,0.0,0.21428571428571427,0.25,0.35714285714285715,0.0,0.0,True,0.340761300555115,1.0,0.0,0.9987947940826416,0.0,0.656562291805463,0.06567992599444958,0.6524822695035462,0.05618729096989967,0.75,1.0,0.7857142857142857,0.625,0.5,True,0.5732751784298176,0.995181718061674,0.00040796820179272883,0.9677109122276306,33.19588336738228,0.9956695536309127,0.4338575393154487,0.9034110097939885,0.13979933110367893,0.8214285714285714,1.0,0.9285714285714286,0.625,0.5,True,0.5532910388580492,0.9975693451529882,0.00019815598372789687,0.9780096411705017,16.12371477844282,0.9956695536309127,0.37465309898242366,0.8659236744343127,0.13690078037904124,0.8214285714285714,1.0,0.9285714285714286,0.625,0.5,True,0.6839809674861221,0.9102902374670184,0.009907799186394844,0.49862217903137207,806.1857389221411,0.9983344437041972,0.8903792784458835,0.9773725092874029,0.18037904124860646,0.9285714285714286,1.0,1.0,0.875,0.5,cross_domain,0,CTT_Impala,FS-A,NN:LSTM,fleet,261.42,4.13,150000,75000,76
98401,12610,0.12814910417577058,0.8586306257749697,0.6422110773053354,85805,0.04424300176620483,True,0.06280729579698652,1.0,0.0,0.9999995231628418,0.0,0.0,0.0,0.2674772036474164,0.0,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,True,0.15582870737509913,1.0,0.0,0.9999985694885254,0.0,0.0,0.0,0.6484295845997974,0.010033444816053512,0.35714285714285715,0.0,0.5714285714285714,0.25,0.0,True,0.2555908009516257,0.9802311435523114,0.0007576552319007821,0.9999884366989136,61.64949768228137,0.0866089273817455,0.08279370952821462,0.8301249577845322,0.07268673355629877,0.7142857142857143,0.25,0.8571428571428571,0.75,0.5,True,0.24940523394131642,0.9855844562832967,0.000536186779499015,0.9999890327453613,43.628875282845286,0.0759493670886076,0.0698427382053654,0.8301249577845322,0.06867335562987736,0.7142857142857143,0.25,0.8571428571428571,0.75,0.5,True,0.33211736716891355,0.8647532521164567,0.007634833490692497,0.9999778270721436,621.2372458752969,0.14390406395736177,0.2895467160037003,0.834177642688281,0.14715719063545152,0.8571428571428571,0.75,0.8571428571428571,1.0,0.5,cross_domain,0,CTT_Impala,FS-A,NN:Transformer,fleet,439.53,5.75,150000,75000,76
98401,12610,0.12814910417577058,0.6472504962935255,0.43808038360628626,85805,0.04424300176620483,True,0.022045995241871532,1.0,0.0,0.7999999999999999,0.0,0.08427714856762158,0.002312673450508788,0.006754474839581222,0.0,0.39285714285714285,1.0,0.42857142857142855,0.0,0.5,True,0.13980967486122126,0.9937993235625705,0.0001282185777062862,0.7455622222222221,10.432991915463,0.4670219853431046,0.06799259944495838,0.04896994258696386,0.015384615384615385,0.6428571428571429,1.0,0.5714285714285714,0.5,1.0,True,0.28358445678033306,0.9620661824051655,0.0016435290415078505,0.7011577777777779,133.73198728002575,0.8704197201865423,0.20582793709528216,0.1171901384667342,0.03812709030100334,0.8928571428571429,1.0,0.9285714285714286,0.75,1.0,True,0.27930214115781127,0.965990126165661,0.0014453730577799536,0.7029622222222223,117.60827250158293,0.8604263824117255,0.19888991674375578,0.11550151975683891,0.037235228539576365,0.8214285714285714,1.0,0.9285714285714286,0.5,1.0,True,0.3119746233148295,0.8228404099560761,0.009872830483384038,0.6888111111111112,803.3403774906511,0.9277148567621586,0.2553191489361702,0.12732185072610605,0.04905239687848383,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,cross_domain,0,CTT_Impala,FS-A,Ens:RankAvg-Trees,fleet,125.12,6.14,150000,75000,76
98401,12610,0.12814910417577058,0.66403731322375,0.43154661914250003,85805,0.04424300176620483,True,0.004520222045995242,0.9344262295081968,4.662493734774044e-05,0.9951477070147772,3.7938152419865463,0.01798800799467022,0.00046253469010175765,0.0,0.0004459308807134894,0.14285714285714285,0.5,0.0,0.125,0.5,True,0.0499603489294211,0.987460815047022,9.324987469548088e-05,0.9940604631391604,7.587630483973093,0.2078614257161892,0.0009250693802035153,0.0,0.0008918617614269788,0.25,1.0,0.0,0.25,0.5,True,0.2212529738302934,0.9674063800277393,0.0010956860276719004,0.9915274389122675,89.15465818668385,0.9173884077281812,0.00786308973172988,0.0013508949679162446,0.0033444816053511705,0.42857142857142855,1.0,0.2857142857142857,0.375,0.5,True,0.21157811260904044,0.9712413542045868,0.0009208425126178737,0.9918069067962227,74.92785102923429,0.8787475016655563,0.006012950971322849,0.0010131712259371835,0.003121516164994426,0.39285714285714285,1.0,0.21428571428571427,0.375,0.5,True,0.27906423473433783,0.8272214386459803,0.008567332237647305,0.988008567506743,697.1135507150278,0.997001998667555,0.0818686401480111,0.07092198581560284,0.030992196209587514,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,cross_domain,0,CTT_Impala,FS-A,Ens:Stack-Trees,fleet,574.45,7.45,150000,75000,76
