n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
61532,11869,0.19289150360787882,0.8521813397732514,0.8115133856745266,49680,0.031993395843505856,False,0.6581851883056702,0.998849252013809,0.000181221432454745,6.187324868311472,20.391619571371887,1.0,0.30699608610567514,0.8925925925925926,0.8263586166811974,0.96875,0.9375,1.0,1.0,1.0,True,0.6645041705282669,0.9987336963403824,0.00020135714717193888,5.790465660789949,22.657355079302093,1.0,0.32142857142857145,0.9111111111111111,0.8279569892473119,0.96875,0.9375,1.0,1.0,1.0,True,0.6823658269441402,0.9945965860248066,0.000885971447556531,4.679605784297919,99.69236234892922,1.0,0.3610567514677104,0.9592592592592593,0.8333333333333334,0.96875,0.9375,1.0,1.0,1.0,True,0.6827870924256466,0.9937461679950951,0.0010269214505768882,4.649210284469975,115.55251090444068,1.0,0.362279843444227,0.9592592592592593,0.8333333333333334,0.96875,0.9375,1.0,1.0,1.0,True,0.7023338107675458,0.937577325385221,0.011175321668042608,2.886056908870597,1257.4832069012662,1.0,0.40826810176125244,0.9851851851851852,0.8387096774193549,0.96875,0.9375,1.0,1.0,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:Periodicity,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.7343921139101862,0.5712512368563212,49680,0.031993395843505856,False,0.4687842278203724,1.0,0.0,5e-324,0.0,0.0,0.9990215264187867,0.0,0.21505376344086022,0.25,0.25,1.0,0.0,0.0,True,0.4687842278203724,1.0,0.0,5e-324,0.0,0.0,0.9990215264187867,0.0,0.21505376344086022,0.25,0.25,1.0,0.0,0.0,True,0.4687842278203724,1.0,0.0,5e-324,0.0,0.0,0.9990215264187867,0.0,0.21505376344086022,0.25,0.25,1.0,0.0,0.0,True,0.4687842278203724,1.0,0.0,5e-324,0.0,0.0,0.9990215264187867,0.0,0.21505376344086022,0.25,0.25,1.0,0.0,0.0,True,0.4687842278203724,1.0,0.0,5e-324,0.0,0.0,0.9990215264187867,0.0,0.21505376344086022,0.25,0.25,1.0,0.0,0.0,in_domain,0,CTT_Traverse,FS-B,Rule:UnseenID,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.8223229588913818,0.7195715239974885,49680,0.031993395843505856,False,0.2622798887859129,0.9996788696210661,2.013571471719389e-05,4.112684076603414,2.2657355079302093,0.8537360890302067,0.4334637964774951,0.0,0.11682650392327812,0.3125,0.375,0.5,0.0,1.0,True,0.2952228494397169,0.9994295493439818,4.027142943438778e-05,3.958634666209881,4.531471015860419,0.8775834658187599,0.4892367906066536,0.003703703703703704,0.13818657367044465,0.375,0.4375,0.5,0.1,1.0,True,0.390260342067571,0.9914383561643836,0.0008054285886877555,3.289910921015245,90.62942031720837,0.9697933227344993,0.6215753424657534,0.04814814814814815,0.21331008427782622,0.5,0.625,0.75,0.1,1.0,True,0.39379897211222514,0.9910941475826972,0.0008457000181221432,3.2738948748768095,95.1608913330688,0.9745627980922098,0.6240215264187867,0.05185185185185185,0.2173786689915722,0.5,0.625,0.75,0.1,1.0,True,0.502485466340888,0.9217928902627511,0.010188671646900106,2.215575425473245,1146.4621670126858,0.9952305246422893,0.7314090019569471,0.15925925925925927,0.3349317058994478,0.71875,0.875,1.0,0.3,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:BusLoad,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.3975825702864741,0.2773197871031552,49680,0.031993395843505856,False,0.07262616901171118,0.9795454545454545,0.00036244286490949,2.2069372559702174,40.783239142743774,0.9984101748807631,0.0,0.0,0.03400174367916303,0.1875,0.25,0.0,0.0,1.0,True,0.07262616901171118,0.9795454545454545,0.00036244286490949,2.206937255970217,40.783239142743774,0.9984101748807631,0.0,0.0,0.03400174367916303,0.1875,0.25,0.0,0.0,1.0,True,0.08610666441991743,0.9578256794751641,0.0009061071622737249,1.9507854353945338,101.95809785685942,1.0,0.0,0.0,0.05710549258936356,0.21875,0.3125,0.0,0.0,1.0,True,0.08610666441991743,0.9578256794751641,0.0009061071622737249,1.9507854353945338,101.95809785685942,1.0,0.0,0.0,0.05710549258936356,0.21875,0.3125,0.0,0.0,1.0,True,0.11449995787345185,0.7322198275862069,0.010007450214445362,1.5788613456823755,1126.0705474413141,1.0,0.0002446183953033268,0.07777777777777778,0.1028770706190061,0.40625,0.4375,0.25,0.3,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:IDEntropy,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.7114536023688531,0.5786084002311589,49680,0.031993395843505856,False,0.32740753222680935,0.9979455572675912,0.0001610857177375511,0.9807692307692308,18.125884063441674,0.0,0.7240704500978473,0.0,0.13455390874745712,0.25,0.3125,0.75,0.0,0.0,True,0.3285028224787261,0.9964221824686941,0.0002819000060407144,0.9615384615384616,31.72029711102293,0.0,0.7255381604696673,0.0,0.13557105492589364,0.25,0.3125,0.75,0.0,0.0,True,0.33406352683461116,0.9877927254608869,0.0009866500211425005,0.8653846153846154,111.02103988858026,0.0,0.7336105675146771,0.0,0.14036617262423715,0.34375,0.5,0.75,0.0,0.0,True,0.33406352683461116,0.9877927254608869,0.0009866500211425005,0.8653846153846154,111.02103988858026,0.0,0.7336105675146771,0.0,0.14036617262423715,0.34375,0.5,0.75,0.0,0.0,True,0.35790715308787596,0.8907527783602432,0.010490707367658015,0.6730769230769231,1180.4481996316392,0.0,0.7566046966731899,0.0,0.16782911944202267,0.40625,0.5625,1.0,0.0,0.0,in_domain,0,CTT_Traverse,FS-B,Rule:Hamming,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.4824803317930125,0.18244481542137447,49680,0.031993395843505856,False,8.425309630128907e-05,0.001388888888888889,0.014477578881662404,7.834190847262374,1629.0638302018206,0.0,0.0,0.0,0.00014530659691950015,0.03125,0.0625,0.0,0.0,0.0,True,8.425309630128907e-05,0.001388888888888889,0.014477578881662404,7.4684885689192795,1629.0638302018206,0.0,0.0,0.0,0.00014530659691950015,0.03125,0.0625,0.0,0.0,0.0,True,0.0005055185778077344,0.0079155672823219,0.015142057467329802,5.343666334701465,1703.8331019635173,0.001589825119236884,0.0002446183953033268,0.0,0.0005812263876780006,0.15625,0.1875,0.25,0.0,0.5,True,0.0005055185778077344,0.007863695937090432,0.015242736040915772,5.288864475394682,1715.1617795031686,0.001589825119236884,0.0002446183953033268,0.0,0.0005812263876780006,0.15625,0.1875,0.25,0.0,0.5,True,0.009436346785744376,0.08846761453396525,0.023236614783641744,3.1221702832171454,2614.6587761514616,0.02066772655007949,0.010518590998043052,0.011111111111111112,0.007701249636733507,0.53125,0.625,0.75,0.2,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:Staleness,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.9998544253480354,0.9995907683054597,49680,0.031993395843505856,False,0.858033532732328,0.9999018163966618,2.013571471719389e-05,15625.000000000002,2.2657355079302093,1.0,0.9740704500978473,0.6111111111111112,0.7858180761406568,0.625,0.8125,0.75,0.2,1.0,True,0.9989889628443845,0.9423031073670826,0.014618528884682762,7.495294947537885,1644.923978757332,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443845,0.9389452011403231,0.015524636046956487,6.028572837705214,1746.8820766141914,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443845,0.938722191433774,0.015585043191108068,5.99565027327407,1753.679283137982,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443845,0.9046311131456474,0.02516964339649236,5.313572841043293,2832.169384912762,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:Combined,fleet,0.0,0.0,111250,11887,40
61532,11869,0.19289150360787882,0.8501979947763081,0.7581870576147626,49680,0.031993395843505856,False,0.7003959895526161,1.0,0.0,11.506545154008915,0.0,1.0,0.9995107632093934,0.6074074074074074,0.4989828538215635,0.59375,0.75,1.0,0.1,1.0,True,0.7003959895526161,1.0,0.0,11.506545154008915,0.0,1.0,0.9995107632093934,0.6074074074074074,0.4989828538215635,0.59375,0.75,1.0,0.1,1.0,True,0.7003959895526161,1.0,0.0,11.506545154008915,0.0,1.0,0.9995107632093934,0.6074074074074074,0.4989828538215635,0.59375,0.75,1.0,0.1,1.0,True,0.7003959895526161,1.0,0.0,11.506545154008915,0.0,1.0,0.9995107632093934,0.6074074074074074,0.4989828538215635,0.59375,0.75,1.0,0.1,1.0,True,0.7003959895526161,1.0,0.0,11.506545154008915,0.0,1.0,0.9995107632093934,0.6074074074074074,0.4989828538215635,0.59375,0.75,1.0,0.1,1.0,in_domain,0,CTT_Traverse,FS-B,Rule:CombinedQ,fleet,0.0,0.0,111250,11887,40
61532,11869,0.1928915036078788,0.9605787595129738,0.917338427176038,49680,0.0319933958435058,False,0.4912798045328165,0.9960710625213528,0.0004631214384954,0.6104952213064345,52.11191668239481,1.0,0.6291585127201565,0.5925925925925926,0.3589072943911653,0.5625,0.75,0.75,0.1,1.0,True,0.5214424130086781,0.9953361209392088,0.0005839357267986,0.6022457166902937,65.70632972997608,1.0,0.6800391389432485,0.6074074074074074,0.3801220575414124,0.5625,0.75,0.75,0.1,1.0,True,0.6324037408374757,0.9819466248037676,0.0027787286309727,0.5516073668008642,312.6715000943689,1.0,0.7323874755381604,0.6222222222222222,0.539814007555943,0.71875,0.875,0.75,0.4,1.0,True,0.6367849018451428,0.9805396990140114,0.003020357207579,0.5504076982964792,339.8603261895314,1.0,0.7326320939334638,0.6259259259259259,0.547079337401918,0.75,0.875,0.75,0.5,1.0,True,0.8648580335327323,0.909050655331208,0.0206793790145581,0.4917833732014516,2326.9103666443257,1.0,0.7546477495107632,0.8296296296296296,0.9193548387096774,0.96875,0.9375,1.0,1.0,1.0,in_domain,0,CTT_Traverse,FS-B,IForest,fleet,1.97,2.45,111250,11887,40
61532,11869,0.1928915036078788,0.9994294521738408,0.9992723727367704,49680,0.0319933958435058,False,0.8834779678153172,0.9998093058733792,4.027142943438778e-05,0.9886229634284974,4.531471015860419,1.0,0.9762720156555772,0.7148148148148148,0.8243243243243243,0.84375,0.875,1.0,0.7,1.0,True,0.9989889628443844,0.9992415304230576,0.0001812214324547,0.0520783215761184,20.391619571371887,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443844,0.995132186319765,0.0011678714535972,0.0273761712014675,131.41265945995215,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443844,0.9937143814951392,0.0015101786037895,0.0265695545822381,169.9301630947657,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9989889628443844,0.9387965162311956,0.0155649074763908,0.0166094247251749,1751.413547630052,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Traverse,FS-B,LogReg,fleet,0.61,0.06,111250,11887,40
