feature_set,model,test_domain,pr_auc,ci_lo,ci_hi
FS-A,Ens:RankAvg-Hybrid,CIDv2_OpelAstra,0.6888374575992909,0.002058372917444114,0.9945791611368144
FS-A,Ens:RankAvg-Trees,CIDv2_OpelAstra,0.680271856737133,0.0006069061920026039,0.9927471300106601
FS-A,Ens:Stack-Trees,CIDv2_OpelAstra,0.6802835235215637,0.0005742916738428269,0.9927094648636776
FS-A,HistGB,CIDv2_OpelAstra,0.6795800698764367,0.0006115451978172902,0.9927680537521628
FS-A,LightGBM,CIDv2_OpelAstra,0.6780819676054143,0.0005995004893396364,0.9927419999985209
FS-A,XGBoost,CIDv2_OpelAstra,0.6787300736511108,0.0006082612904248873,0.9931868709354588
FS-B,Ens:RankAvg-Hybrid,CIDv2_OpelAstra,0.8752172806971954,0.21728557356195044,0.99923817445498
FS-B,Ens:RankAvg-Trees,CIDv2_OpelAstra,0.8956186162228228,0.3006849910237744,0.999928797948988
FS-B,Ens:Stack-Trees,CIDv2_OpelAstra,0.8478565052279441,0.1498007296315629,0.99895786334886
FS-B,HistGB,CIDv2_OpelAstra,0.9227404033553163,0.4035043525396937,0.9999975222967937
FS-B,LightGBM,CIDv2_OpelAstra,0.9085693850869179,0.3415209047570312,0.9999737321589199
FS-B,Rule:Combined,CIDv2_OpelAstra,0.830392186923929,0.13485097317199649,0.9984125750113388
FS-B,Rule:Combined@target,CIDv2_OpelAstra,0.8048795741598631,0.12193563274966776,0.9980547071288149
FS-B,XGBoost,CIDv2_OpelAstra,0.8997597430300331,0.3119418444890324,0.9999284682797978
FS-A,Ens:RankAvg-Hybrid,CIDv2_Prototype,0.9329229553591286,0.00974245321109025,0.9935715139610505
FS-A,Ens:RankAvg-Trees,CIDv2_Prototype,0.9399250553622115,0.011069180459300521,0.9946195169020183
FS-A,Ens:Stack-Trees,CIDv2_Prototype,0.9352580683565969,0.013038468815442935,0.9937971098981806
FS-A,HistGB,CIDv2_Prototype,0.932605476799633,0.010416123649059434,0.9944993713989322
FS-A,LightGBM,CIDv2_Prototype,0.9392577547485451,0.01011567281002816,0.9940680154643103
FS-A,XGBoost,CIDv2_Prototype,0.9372210037613298,0.012575876718346863,0.9944019088344023
FS-B,Ens:RankAvg-Hybrid,CIDv2_Prototype,0.9419338644004628,0.010758252509338479,0.9978528965360708
FS-B,Ens:RankAvg-Trees,CIDv2_Prototype,0.960223173448073,0.17834328874597102,0.9998943605796802
FS-B,Ens:Stack-Trees,CIDv2_Prototype,0.9603637879235172,0.0637278051614586,0.9994938411460773
FS-B,HistGB,CIDv2_Prototype,0.9575737791337972,0.2834222750333259,1.0
FS-B,LightGBM,CIDv2_Prototype,0.9625239222155941,0.2848242688409161,0.9999997367497367
FS-B,Rule:Combined,CIDv2_Prototype,0.7699821054468886,0.11780506819609957,0.9919373043520298
FS-B,Rule:Combined@target,CIDv2_Prototype,0.8534483468952315,0.30294941575036827,1.0
FS-B,XGBoost,CIDv2_Prototype,0.9577599807332122,0.16392493959800092,0.9990060316717956
FS-A,Ens:RankAvg-Hybrid,CIDv2_RenaultClio,0.7903360407728066,0.0030536192431113085,0.9944892443072959
FS-A,Ens:RankAvg-Trees,CIDv2_RenaultClio,0.7901351670455804,0.003020090957098701,0.9944777753097716
FS-A,Ens:Stack-Trees,CIDv2_RenaultClio,0.8141673013766616,0.003271866776556347,0.9952973573740626
FS-A,HistGB,CIDv2_RenaultClio,0.780461966250682,0.0027424281259535474,0.9939951939802005
FS-A,LightGBM,CIDv2_RenaultClio,0.7894688938687251,0.002909453762195376,0.994115864044095
FS-A,XGBoost,CIDv2_RenaultClio,0.7856028595396384,0.003144938975437651,0.9945329478212093
FS-B,Ens:RankAvg-Hybrid,CIDv2_RenaultClio,0.8911949328051266,0.12527514583596908,0.999111054203474
FS-B,Ens:RankAvg-Trees,CIDv2_RenaultClio,0.8841872452635859,0.17282830062263616,0.9997570996315814
FS-B,Ens:Stack-Trees,CIDv2_RenaultClio,0.8617222879046166,0.11201048715096236,0.9988815143945212
FS-B,HistGB,CIDv2_RenaultClio,0.8847158834937985,0.18480808662076595,0.9998686524581591
FS-B,LightGBM,CIDv2_RenaultClio,0.9005733391402468,0.21716132445585598,0.999854826156211
FS-B,Rule:Combined,CIDv2_RenaultClio,0.88714373785511,0.12582712752506692,0.9986117775406312
FS-B,Rule:Combined@target,CIDv2_RenaultClio,0.8991666860055824,0.11555129585256195,0.998426836368369
FS-B,XGBoost,CIDv2_RenaultClio,0.8682478840550546,0.1421186056497527,0.9997829149313243
FS-A,Ens:RankAvg-Hybrid,CTT_Forester,0.44834066108898674,0.33623847171032445,0.6171509247028154
FS-A,Ens:RankAvg-Trees,CTT_Forester,0.43913292101920975,0.32510876837362707,0.6179703737314749
FS-A,Ens:Stack-Trees,CTT_Forester,0.46379769417009786,0.3565712239366625,0.6316725709351115
FS-A,HistGB,CTT_Forester,0.46964951165479263,0.34308440731456247,0.642798642458071
FS-A,LightGBM,CTT_Forester,0.45048069935752083,0.3396445120519697,0.6245096434414803
FS-A,XGBoost,CTT_Forester,0.42436617625296813,0.30892183531448325,0.5944916430506842
FS-B,Ens:RankAvg-Hybrid,CTT_Forester,0.9997531549907769,0.999036811984048,0.9999847001322348
FS-B,Ens:RankAvg-Trees,CTT_Forester,0.9996462474312889,0.9986609046384224,0.9999803665360124
FS-B,Ens:Stack-Trees,CTT_Forester,0.9994865848910416,0.9980003653111299,0.9999569637752381
FS-B,HistGB,CTT_Forester,0.9997081661868513,0.9988617789151821,0.9999839197646553
FS-B,LightGBM,CTT_Forester,0.999621301304674,0.9985477299618356,0.9999660641174376
FS-B,Rule:Combined,CTT_Forester,0.9337915445043112,0.8712347276840909,0.9845690135659105
FS-B,Rule:Combined@target,CTT_Forester,0.9719179693921789,0.9319675316505072,0.9929612309343093
FS-B,XGBoost,CTT_Forester,0.999626230222597,0.998660992948655,0.9999762684943136
FS-A,Ens:RankAvg-Hybrid,CTT_Impala,0.555811524400259,0.38203590131665704,0.781019367961493
FS-A,Ens:RankAvg-Trees,CTT_Impala,0.4380797538092842,0.23822593861972352,0.6613839911465365
FS-A,Ens:Stack-Trees,CTT_Impala,0.4315463395096787,0.2152961956974745,0.6780037778548691
FS-A,HistGB,CTT_Impala,0.30081714492428746,0.17033637093038742,0.44767676703563064
FS-A,LightGBM,CTT_Impala,0.44670502076420276,0.24960013183306773,0.659805834623553
FS-A,XGBoost,CTT_Impala,0.25958504290936796,0.16745785757130371,0.3599674195440586
FS-B,Ens:RankAvg-Hybrid,CTT_Impala,0.9449620354865964,0.8707816903077001,0.99999948929757
FS-B,Ens:RankAvg-Trees,CTT_Impala,0.9991852654703047,0.998189526860158,0.9999795283702099
FS-B,Ens:Stack-Trees,CTT_Impala,0.9983855839857344,0.9964458488033976,0.9999656530198623
FS-B,HistGB,CTT_Impala,0.9977384807591452,0.9947959152302607,0.9999876017703228
FS-B,LightGBM,CTT_Impala,0.995873198564956,0.9910267881019017,0.9999716684990838
FS-B,Rule:Combined,CTT_Impala,0.9991399824679192,0.99766427267623,0.999900280455117
FS-B,Rule:Combined@target,CTT_Impala,0.8044449440508674,0.6177027197038972,0.9867957409762922
FS-B,XGBoost,CTT_Impala,0.9990274270231194,0.9977938074748147,0.9999701846567989
FS-A,Ens:RankAvg-Hybrid,CTT_Silverado,0.8356408608964423,0.5148859516509726,0.9363117674791186
FS-A,Ens:RankAvg-Trees,CTT_Silverado,0.8296686101334301,0.518610268351366,0.9350940592191083
FS-A,Ens:Stack-Trees,CTT_Silverado,0.8217744599139198,0.47927384450710353,0.9177542830453466
FS-A,HistGB,CTT_Silverado,0.817153745308771,0.48505650891592544,0.92782032629385
FS-A,LightGBM,CTT_Silverado,0.8169005301657207,0.4915093646825143,0.9282837287779785
FS-A,XGBoost,CTT_Silverado,0.828978697216502,0.5248858144786975,0.9367173538416518
FS-B,Ens:RankAvg-Hybrid,CTT_Silverado,0.9948619151830645,0.9781507841222066,0.9991333515753045
FS-B,Ens:RankAvg-Trees,CTT_Silverado,0.9959229953578441,0.9820899535126437,0.9993171776605103
FS-B,Ens:Stack-Trees,CTT_Silverado,0.9965091726017129,0.9841985388965698,0.9994339317779055
FS-B,HistGB,CTT_Silverado,0.9946850861874877,0.9771740691905367,0.9992566022927301
FS-B,LightGBM,CTT_Silverado,0.9953594292375145,0.9791462860122028,0.9993112864951842
FS-B,Rule:Combined,CTT_Silverado,0.9921033677715666,0.960940569610954,0.998021284281131
FS-B,Rule:Combined@target,CTT_Silverado,0.9919014493931336,0.959880094339969,0.9979896713053417
FS-B,XGBoost,CTT_Silverado,0.9947127822085432,0.9788493412722794,0.9989230010161189
FS-A,Ens:RankAvg-Hybrid,CTT_Traverse,0.7474618917727168,0.45619324021604896,0.9590075157858475
FS-A,Ens:RankAvg-Trees,CTT_Traverse,0.7460092770323032,0.4523913208656405,0.959527983188828
FS-A,Ens:Stack-Trees,CTT_Traverse,0.46206493308810925,0.2292857198764485,0.6772956850125601
FS-A,HistGB,CTT_Traverse,0.753262119669674,0.46468887959007726,0.9600702197715727
FS-A,LightGBM,CTT_Traverse,0.7420145665365003,0.4519066516658416,0.9556980576211499
FS-A,XGBoost,CTT_Traverse,0.7451785700235168,0.44949889874674986,0.9604841583173975
FS-B,Ens:RankAvg-Hybrid,CTT_Traverse,0.9995250611763431,0.997717438502837,0.9999261506293814
FS-B,Ens:RankAvg-Trees,CTT_Traverse,0.9995450498888336,0.9978122666053186,0.9999269609078267
FS-B,Ens:Stack-Trees,CTT_Traverse,0.999219901794778,0.9968137740702141,0.9999045311077751
FS-B,HistGB,CTT_Traverse,0.9995716383933083,0.9980828182685062,0.999936994064139
FS-B,LightGBM,CTT_Traverse,0.9995920755843162,0.9980013353837275,0.9999518773369854
FS-B,Rule:Combined,CTT_Traverse,0.856047383168204,0.6515315022427438,0.988639217725493
FS-B,Rule:Combined@target,CTT_Traverse,0.9992469344563523,0.9965876891523786,0.9998588917628338
FS-B,XGBoost,CTT_Traverse,0.9993950913110932,0.9975563443279795,0.9998787153180779
FS-A,Ens:RankAvg-Hybrid,ROAD_ORNL,0.1013184026691055,0.048258292160447434,0.2613209822583183
FS-A,Ens:RankAvg-Trees,ROAD_ORNL,0.10858107589410092,0.04926698788574185,0.28349517410366576
FS-A,Ens:Stack-Trees,ROAD_ORNL,0.09255210257783972,0.044978525118372574,0.2649105026311202
FS-A,HistGB,ROAD_ORNL,0.1134232986700708,0.051231839698116836,0.2686297979585426
FS-A,LightGBM,ROAD_ORNL,0.10759126171728234,0.05065852001458944,0.28690151113040135
FS-A,XGBoost,ROAD_ORNL,0.10167449558109293,0.0454340297516623,0.2658983060252777
FS-B,Ens:RankAvg-Hybrid,ROAD_ORNL,0.4075047249535767,0.18538249446279947,0.6719276361762464
FS-B,Ens:RankAvg-Trees,ROAD_ORNL,0.3182313651692121,0.13715660801725976,0.5573413545815245
FS-B,Ens:Stack-Trees,ROAD_ORNL,0.3246560883245727,0.13973466027513487,0.561756841494591
FS-B,HistGB,ROAD_ORNL,0.3342860210804512,0.14858642065594943,0.5741135557362442
FS-B,LightGBM,ROAD_ORNL,0.32941116258871456,0.14251586227109037,0.5696625762143143
FS-B,Rule:Combined,ROAD_ORNL,0.2857610205595409,0.11685663250386588,0.5409504476261059
FS-B,Rule:Combined@target,ROAD_ORNL,0.11467595948100573,0.05114328740009423,0.2743501133587492
FS-B,XGBoost,ROAD_ORNL,0.31184486969421926,0.1342082940171652,0.5543969236268156
