feature_set,model,metric,mean,ci_lo,ci_hi
FS-A,CatBoost,pr_auc,0.6254320152272248,0.4441774256698367,0.7881703569985539
FS-A,CatBoost,recall@fa10,0.4223846007824116,0.20750499673044992,0.623188166215249
FS-A,Ens:RankAvg-Hybrid,pr_auc,0.6375840083293014,0.4471780397341904,0.7942542628668228
FS-A,Ens:RankAvg-Hybrid,recall@fa10,0.48383337563537515,0.28482417145920713,0.6805134448071443
FS-A,Ens:RankAvg-Trees,pr_auc,0.6214758938052839,0.438450303917642,0.7831577510042356
FS-A,Ens:RankAvg-Trees,recall@fa10,0.47129265011160093,0.2552982264190776,0.6900883098935341
FS-A,Ens:Stack-Trees,pr_auc,0.5876804438319412,0.40603783898149326,0.7575831160399001
FS-A,Ens:Stack-Trees,recall@fa10,0.3115067924962198,0.10896598135436779,0.5612981410695059
FS-A,ExtraTrees,pr_auc,0.6216131076497448,0.4364474259292916,0.7727512203639723
FS-A,ExtraTrees,recall@fa10,0.37712649015039473,0.19928492680912352,0.5627536508619462
FS-A,HistGB,pr_auc,0.6058756333244956,0.4211926031155859,0.7779018412624858
FS-A,HistGB,recall@fa10,0.4428454549439805,0.222797828513408,0.6481038755806419
FS-A,IForest,pr_auc,0.4265685541544906,0.24594629964621417,0.6057820837900013
FS-A,IForest,recall@fa10,0.17538148028738446,0.0021715713237990377,0.4194564251374364
FS-A,IForest@target,pr_auc,0.6663642163489314,0.4939126018836589,0.8060572909609107
FS-A,IForest@target,recall@fa10,0.2880961223790443,0.09496158658287629,0.5022328307656748
FS-A,LightGBM,pr_auc,0.6213128850649114,0.4455756255522912,0.7863802929255955
FS-A,LightGBM,recall@fa10,0.4550300761161231,0.24145446346077043,0.65658723710457
FS-A,LogReg,pr_auc,0.5165052744548969,0.30905210322100424,0.7046959654803494
FS-A,LogReg,recall@fa10,0.27513445890670374,0.11406500833424081,0.4382409695320251
FS-A,NN:CNN1D,pr_auc,0.23700839387765166,0.14086926428426197,0.37324766121973696
FS-A,NN:CNN1D,recall@fa10,0.0820640756302521,0.0,0.24619222689075632
FS-A,NN:LSTM,pr_auc,0.5714328111098776,0.37098035959918957,0.7418167046507516
FS-A,NN:LSTM,recall@fa10,0.293668298041143,0.12321782258850557,0.466037343313093
FS-A,NN:MLP,pr_auc,0.5195928666457448,0.3148213006998948,0.7037540528027952
FS-A,NN:MLP,recall@fa10,0.3140166058540613,0.1351035146499225,0.49348441655892655
FS-A,NN:Transformer,pr_auc,0.47239324698392426,0.2588125695805406,0.6703955405680146
FS-A,NN:Transformer,recall@fa10,0.22347214325633707,0.0623036935729197,0.4098946663981209
FS-A,RandomForest,pr_auc,0.6306447350250237,0.45588692270819525,0.7813144226159506
FS-A,RandomForest,recall@fa10,0.45096707584217055,0.25400203939467114,0.6328936574484004
FS-A,XGBoost,pr_auc,0.5951671148669408,0.40321415893721074,0.7736687175148049
FS-A,XGBoost,recall@fa10,0.4517492564110216,0.22760956250124914,0.663528844757076
FS-B,CatBoost,pr_auc,0.8578922860319118,0.6851326323350148,0.9822422207438583
FS-B,CatBoost,recall@fa10,0.7364688518800919,0.5128472129151663,0.8970978466346772
FS-B,Ens:RankAvg-Hybrid,pr_auc,0.8818691711363613,0.7396335006894713,0.9754782185376687
FS-B,Ens:RankAvg-Hybrid,recall@fa10,0.7560623466878942,0.5309869075052013,0.9175620937407735
FS-B,Ens:RankAvg-Trees,pr_auc,0.8815720014545444,0.7112678403437269,0.9847249054645908
FS-B,Ens:RankAvg-Trees,recall@fa10,0.753603670717393,0.528836518715331,0.9118442979649629
FS-B,Ens:Stack-Trees,pr_auc,0.8735251679180951,0.7065538728888289,0.9812068707536148
FS-B,Ens:Stack-Trees,recall@fa10,0.7351782538141728,0.5108554212931425,0.8872063160859501
FS-B,ExtraTrees,pr_auc,0.8576442464506719,0.692520723072396,0.977595044823015
FS-B,ExtraTrees,recall@fa10,0.7147949522438932,0.49607953189844656,0.8594301908575338
FS-B,HistGB,pr_auc,0.8863787616164656,0.716545380885917,0.9848959310501669
FS-B,HistGB,recall@fa10,0.7485523421340217,0.5062839457288467,0.9004745671700042
FS-B,IForest,pr_auc,0.6714074629842786,0.42856159192031046,0.8638083477299746
FS-B,IForest,recall@fa10,0.28344007495161483,0.09025827882521126,0.4964046005896406
FS-B,IForest@target,pr_auc,0.7961326517952572,0.5981162960478529,0.9302264373235561
FS-B,IForest@target,recall@fa10,0.21410898823430807,0.04374732389692924,0.42767485087412793
FS-B,LightGBM,pr_auc,0.8864480799421399,0.7204313699886009,0.9858276002060763
FS-B,LightGBM,recall@fa10,0.7469422005553481,0.5226938693669636,0.8981830446556148
FS-B,LogReg,pr_auc,0.8174830773773507,0.6601606788653214,0.935495266945063
