feature_set,model,test_domain,in_domain,cross_matched,cross_full
FS-A,HistGB,CIDv2_OpelAstra,0.974114352974576,0.6786393831008907,0.6805709747598734
FS-A,HistGB,CIDv2_Prototype,0.99872976620438,0.8928389321170936,0.9417810897403072
FS-A,HistGB,CIDv2_RenaultClio,0.9884814337555052,0.8040200328558775,0.780350501040913
FS-A,HistGB,CTT_Forester,0.996031694042676,0.40365457414484124,0.4736433002499052
FS-A,HistGB,CTT_Impala,0.9966213115934048,0.38816197721666795,0.3016091853263613
FS-A,HistGB,CTT_Silverado,0.9610495695730268,0.8237774460871351,0.8147782263000347
FS-A,HistGB,CTT_Traverse,0.9868543901576368,0.7593161991230847,0.7646319022614588
FS-A,HistGB,ROAD_ORNL,0.8687274741711175,0.11574267682480877,0.11946401816876025
FS-A,LightGBM,CIDv2_OpelAstra,0.977581154659342,0.6778383823781718,0.6797836321510535
FS-A,LightGBM,CIDv2_Prototype,0.9988922670694048,0.9057504146285383,0.943677152764363
FS-A,LightGBM,CIDv2_RenaultClio,0.9901116401718544,0.8094866004896324,0.7887676397534276
FS-A,LightGBM,CTT_Forester,0.9964743342670304,0.42545092715259064,0.4556653152896615
FS-A,LightGBM,CTT_Impala,0.9962427946933736,0.339181651304157,0.4418465597291172
FS-A,LightGBM,CTT_Silverado,0.9647136905575932,0.8216018145802176,0.8149545571050055
FS-A,LightGBM,CTT_Traverse,0.9870863034051032,0.7678230037930399,0.7545428742409235
FS-A,LightGBM,ROAD_ORNL,0.8908007057845476,0.11865191364596002,0.10979667904644766
FS-A,LogReg,CIDv2_OpelAstra,0.9350321816684674,0.661073209178639,0.6775585688015819
FS-A,LogReg,CIDv2_Prototype,0.9785019244217532,0.8947888528597926,0.9255252580996194
FS-A,LogReg,CIDv2_RenaultClio,0.9740399638199576,0.5496998025258527,0.07246753714365951
FS-A,LogReg,CTT_Forester,0.9856241586165722,0.3080236144496183,0.3353493201068953
FS-A,LogReg,CTT_Impala,0.9859754207865868,0.5772649877125322,0.5786675912995836
FS-A,LogReg,CTT_Silverado,0.9150211937112168,0.7426758471009004,0.7465724357282804
FS-A,LogReg,CTT_Traverse,0.954340004371097,0.6826452442133123,0.6951805070049527
FS-A,LogReg,ROAD_ORNL,0.5649386163682075,0.11018091050781816,0.10510754188425081
FS-A,RandomForest,CIDv2_OpelAstra,0.976198286196164,0.6736062308411298,0.6966373864642048
FS-A,RandomForest,CIDv2_Prototype,0.998649759085604,0.9415931538695054,0.9322692424085335
FS-A,RandomForest,CIDv2_RenaultClio,0.9875288522244408,0.8045868812619918,0.815431185547306
FS-A,RandomForest,CTT_Forester,0.995632555620836,0.5069001813789157,0.5329775379770032
FS-A,RandomForest,CTT_Impala,0.9937629963922208,0.40079025388649403,0.4324602884563373
FS-A,RandomForest,CTT_Silverado,0.952884840551424,0.8418613215657903,0.828657916235832
FS-A,RandomForest,CTT_Traverse,0.9684860071603376,0.7277007880958974,0.7365071594838939
