feature_set,model,test_domain,eval_set,pr_auc,roc_auc,n_eval,covered
FS-A,IForest,CIDv2_OpelAstra,in_f0,0.6840038229775034,0.8439966110292649,29734,1.0
FS-A,IForest@target,CIDv2_OpelAstra,in_f0,0.6723198492471661,0.8172137767776357,29734,1.0
FS-A,LogReg,CIDv2_OpelAstra,in_f0,0.6775585688015819,0.8308405330973285,29734,1.0
FS-A,RandomForest,CIDv2_OpelAstra,in_f0,0.6966373864642048,0.8623952683924514,29734,1.0
FS-A,ExtraTrees,CIDv2_OpelAstra,in_f0,0.6870352843610509,0.88368239372141,29734,1.0
FS-A,HistGB,CIDv2_OpelAstra,in_f0,0.6805709747598734,0.8576127183538668,29734,1.0
FS-A,XGBoost,CIDv2_OpelAstra,in_f0,0.6806443616260731,0.8539885343421098,29734,1.0
FS-A,LightGBM,CIDv2_OpelAstra,in_f0,0.6797836321510535,0.847575249001207,29734,1.0
FS-A,CatBoost,CIDv2_OpelAstra,in_f0,0.6836312057538354,0.8488217570482137,29734,1.0
FS-A,NN:MLP,CIDv2_OpelAstra,in_f0,0.691318776427149,0.8531798582892174,29734,1.0
FS-A,NN:CNN1D,CIDv2_OpelAstra,in_f0,0.6934022278710706,0.8791595208671735,29734,1.0
FS-A,NN:LSTM,CIDv2_OpelAstra,in_f0,0.700200497914394,0.8877657077174634,29734,1.0
FS-A,NN:Transformer,CIDv2_OpelAstra,in_f0,0.7003244582813356,0.8752475621536153,29734,1.0
FS-A,Ens:RankAvg-Trees,CIDv2_OpelAstra,in_f0,0.6831796878235592,0.8537867430804017,29734,1.0
FS-A,Ens:Stack-Trees,CIDv2_OpelAstra,in_f0,0.6835781195323051,0.8484287155908843,29734,1.0
FS-A,Ens:RankAvg-Hybrid,CIDv2_OpelAstra,in_f0,0.6986658137653109,0.8676329190658385,29734,1.0
FS-A,IForest,CIDv2_Prototype,in_f0,0.1830756855652959,0.32892335766423364,2994,1.0
FS-A,IForest@target,CIDv2_Prototype,in_f0,0.9232895223180541,0.9804162365749957,2994,1.0
FS-A,LogReg,CIDv2_Prototype,in_f0,0.9255252580996194,0.9343649389269827,2994,1.0
FS-A,RandomForest,CIDv2_Prototype,in_f0,0.9322692424085335,0.9334463860011305,2994,1.0
FS-A,ExtraTrees,CIDv2_Prototype,in_f0,0.9328452064210587,0.9544886210032195,2994,1.0
FS-A,HistGB,CIDv2_Prototype,in_f0,0.9417810897403072,0.9407667766472512,2994,1.0
