feature_set,model,in_domain,cross_matched,cross_full
FS-A,HistGB,0.9713262490590404,0.6082689026838,0.6096036497309517
FS-A,LightGBM,0.9752378613260312,0.6082230884965385,0.6236293012599999
FS-A,LogReg,0.9116841829704823,0.5657940585685582,0.5170535950086029
FS-A,RandomForest,0.9606028361609273,0.6267646253067237,0.6367721000406955
FS-A,XGBoost,0.9727898623161888,0.5933925733342815,0.5981922842330595
FS-B,HistGB,0.9712759062948708,0.8566485330152734,0.8936176826419068
FS-B,LightGBM,0.9753071013083122,0.8643154839744885,0.8952158234729075
FS-B,LogReg,0.948972395140433,0.7574951150233992,0.814283940604705
FS-B,RandomForest,0.9714441320216352,0.8640260615021785,0.8744615382679217
FS-B,Rule:Combined,0.8108915435877716,0.8034848259646501,0.8192169595397246
FS-B,Rule:Staleness,0.43451866803922634,0.43451866803922634,0.43451866803922634
FS-B,XGBoost,0.974753355736866,0.8571307371773356,0.886183438748102
