feature_set,model,k,pr_auc,pr_auc,roc_auc,roc_auc,recall@fa10,recall@fa10,n_train,n_train,n_train_pos,n_train_pos
,,,mean,std,mean,std,mean,std,mean,std,mean,std
FS-A,HistGB,1,0.3737991314335912,0.2777003170678259,0.6242897628292678,0.1867799237733457,0.16219144395754115,0.29308396912062856,34097.65,11126.633895776065,12598.65,8859.12738380771
FS-A,HistGB,2,0.5421129113114265,0.25894960171649883,0.7352850570871096,0.14682698254044896,0.27974713187146677,0.3273300220852977,39412.15,2578.5453317419297,17422.75,6053.3902824278875
FS-A,HistGB,3,0.5580835292898031,0.2532568458799637,0.7496167839373464,0.13848857659736677,0.28529478291544996,0.3361103090001298,40000.0,0.0,19865.5,845.2516665152665
FS-A,HistGB,4,0.5654901784150776,0.2701455443356261,0.7356634542547849,0.1609580683875096,0.32070864232195534,0.3225795547948583,40000.0,0.0,19887.1,709.5086479522197
FS-A,HistGB,5,0.5852453195346146,0.26893219716196753,0.7493549608513274,0.14113174432481412,0.36921523190715844,0.32303033601354725,40000.0,0.0,20000.0,0.0
FS-A,HistGB,6,0.5965834089525132,0.271456255184413,0.7544517837453396,0.1407492517263352,0.41599778625689393,0.31169389306764367,40000.0,0.0,20000.0,0.0
FS-A,HistGB,7,0.6080710241074461,0.2651149006879773,0.7581444788165957,0.14066666995873883,0.44857094441258233,0.3135549191118512,40000.0,0.0,20000.0,0.0
FS-A,XGBoost,1,0.447898161152804,0.2542624424757725,0.6758734700245801,0.15803531651381722,0.20194051976377114,0.307762140668185,34097.65,11126.633895776065,12598.65,8859.12738380771
FS-A,XGBoost,2,0.5153546954463427,0.2657296928371718,0.7241516487989857,0.1464484128558761,0.279756931427626,0.33703606797038516,39412.15,2578.5453317419297,17422.75,6053.3902824278875
FS-A,XGBoost,3,0.546827710859417,0.26132868765671247,0.7336318965997775,0.14336564788740858,0.3129571205508802,0.3402031886490317,40000.0,0.0,19865.5,845.2516665152665
FS-A,XGBoost,4,0.5793497965041148,0.2704562183756111,0.7454077450767108,0.15746333782163302,0.3327034717328325,0.32760382869053134,40000.0,0.0,19887.1,709.5086479522197
FS-A,XGBoost,5,0.5912934337468172,0.2788006099665241,0.7473610544827483,0.1525114740394368,0.3994742442598286,0.316785481430314,40000.0,0.0,20000.0,0.0
FS-A,XGBoost,6,0.5980236322297755,0.27598616258939584,0.7558421038616515,0.14392096780150226,0.4247475849901595,0.307762416406015,40000.0,0.0,20000.0,0.0
FS-A,XGBoost,7,0.5997797674300562,0.27680821308141845,0.7507256689215616,0.14892194323763938,0.43591402998341766,0.31558802974201705,40000.0,0.0,20000.0,0.0
FS-B,HistGB,1,0.7462484203401941,0.2755435758188409,0.8676627436365708,0.17051912480903025,0.40136714263493956,0.3592494692078039,34097.65,11126.633895776065,12598.65,8859.12738380771
FS-B,HistGB,2,0.7974434351820765,0.251153091542681,0.9036752480013908,0.10880193353009186,0.5155149243086365,0.34325151294895956,39412.15,2578.5453317419297,17422.75,6053.3902824278875
FS-B,HistGB,3,0.7950555470256286,0.2627428724139784,0.9189068869916976,0.09984760741016707,0.5162176915714727,0.3725981019825393,40000.0,0.0,19865.5,845.2516665152665
FS-B,HistGB,4,0.8531054188463407,0.23442810028788968,0.9427689542189013,0.09384086553969635,0.6138306569019764,0.3700759490401822,40000.0,0.0,19887.1,709.5086479522197
FS-B,HistGB,5,0.8567991212371476,0.2347760202773555,0.949647374307507,0.09044531966564089,0.6168970363617275,0.3809242730619739,40000.0,0.0,20000.0,0.0
FS-B,HistGB,6,0.86910437612959,0.2292819615043748,0.9550666391031063,0.0873367275457096,0.6950185087424828,0.3330115177913729,40000.0,0.0,20000.0,0.0
FS-B,HistGB,7,0.8795167873146623,0.22706892192879619,0.9613528945374428,0.08384397430841165,0.7352832604804622,0.3012651857432521,40000.0,0.0,20000.0,0.0
FS-B,Rule:Combined,1,0.7593185307880631,0.24653044620613154,0.884085345753691,0.1501665050881244,0.4367681175884318,0.3255905059256438,34097.65,11126.633895776065,12598.65,8859.12738380771
FS-B,Rule:Combined,2,0.7909498247325305,0.23587266236222648,0.9042621438896358,0.11139557049966621,0.5011428245365755,0.3396693978541248,39412.15,2578.5453317419297,17422.75,6053.3902824278875
FS-B,Rule:Combined,3,0.8015569717252582,0.22065237371356927,0.9194670601649056,0.09190995040073734,0.49369940371552234,0.3512359056235739,40000.0,0.0,19865.5,845.2516665152665
FS-B,Rule:Combined,4,0.8297835758161216,0.22608174055054775,0.9330578360652616,0.08901805258802425,0.5309997792712711,0.3429092224051604,40000.0,0.0,19887.1,709.5086479522197
FS-B,Rule:Combined,5,0.8133903831136434,0.21638436922857174,0.924787709854378,0.08668073823115083,0.5131780836990939,0.32691950505678297,40000.0,0.0,20000.0,0.0
FS-B,Rule:Combined,6,0.8373960057436903,0.22494740787681214,0.9316447794823481,0.08800653285978033,0.5579689672475263,0.3412308581127354,40000.0,0.0,20000.0,0.0
FS-B,Rule:Combined,7,0.8215887134041926,0.2178872158052778,0.9394612663173947,0.08439563176550864,0.48387851271103355,0.31519328271872765,40000.0,0.0,20000.0,0.0
FS-B,XGBoost,1,0.7746242895462847,0.2729824955100273,0.8860550278688578,0.16555749691325275,0.45271987955566384,0.3735707611011817,34097.65,11126.633895776065,12598.65,8859.12738380771
FS-B,XGBoost,2,0.7846372825440886,0.2561539085205914,0.9040469815080557,0.10985498029215268,0.4898456884059773,0.35447627188576264,39412.15,2578.5453317419297,17422.75,6053.3902824278875
FS-B,XGBoost,3,0.8022062385747668,0.2575448680653891,0.9228385030111286,0.09749510554033859,0.4944320448175641,0.38936236327081525,40000.0,0.0,19865.5,845.2516665152665
FS-B,XGBoost,4,0.8468551995862302,0.23683424871094727,0.9448942993648035,0.09042906663077378,0.6450549533575427,0.34838097450107064,40000.0,0.0,19887.1,709.5086479522197
FS-B,XGBoost,5,0.8557675827838113,0.23591859835820303,0.9516476851757935,0.08657644208382823,0.61471569826239,0.38743707831845514,40000.0,0.0,20000.0,0.0
FS-B,XGBoost,6,0.8680472925325462,0.23160797795852456,0.9542918445442531,0.08690613499002593,0.7273151829485045,0.32095046589726867,40000.0,0.0,20000.0,0.0
FS-B,XGBoost,7,0.8748277634504519,0.23831682754141847,0.9613017718551855,0.0847561277161735,0.7396530048554013,0.3041472698223901,40000.0,0.0,20000.0,0.0
