feature_set,model,CIDv2_OpelAstra,CIDv2_Prototype,CIDv2_RenaultClio,CTT_Forester,CTT_Impala,CTT_Silverado,CTT_Traverse,ROAD_ORNL
FS-A,CatBoost,0.9825289987661705,0.9988090262182322,0.9895751786288808,0.996822160310799,0.9963047499266249,0.9700929934613907,0.9892923550861438,0.9067401392326421
FS-A,Ens:RankAvg-Hybrid,0.978623756575676,0.994757633713754,0.9885640961946944,0.9982507753336038,0.9970731068777752,0.9737223337186064,0.9931776393983227,0.9437808532043448
FS-A,Ens:RankAvg-Trees,0.976309650329138,0.999021801670686,0.9906121180736385,0.9968255902173686,0.9953393463285289,0.9715832987503186,0.9861512074366302,0.8963061463099173
FS-A,Ens:Stack-Trees,0.9759617226122308,0.9991187675033285,0.989932844719879,0.9963247331063324,0.9943493367206131,0.9691166329742824,0.9855021690297916,0.9305594961002137
FS-A,ExtraTrees,0.9751897516988293,0.9971414590603859,0.9885291629994888,0.9956053432347896,0.9923288503987012,0.9520903304687385,0.9819648697184602,0.9242222040647381
FS-A,HistGB,0.9742610412805734,0.9989406418453558,0.9882664035663851,0.9966513706227766,0.9958784383698851,0.969565991624278,0.987593594404907,0.8860925204844073
FS-A,IForest,0.6712479240080269,0.9155638838546298,0.7702378846811122,0.7128538664593134,0.4937206039053995,0.8272229546673989,0.6875848550181249,0.11338179406462909
FS-A,LightGBM,0.9772324187380959,0.99912527518072,0.9916876990367737,0.9967965702710486,0.995612223728355,0.9727206005242415,0.9877863752647309,0.9062753063632301
FS-A,LogReg,0.9496398958499545,0.9822486386052205,0.978939700881169,0.9859842897013722,0.9858157397320673,0.9228763052086641,0.959518861963434,0.6039686201598748
FS-A,NN:CNN1D,0.9688830493878362,0.9913292615527707,0.9829844979145523,0.9974243514856382,0.978022137912928,0.958586951112107,0.9927243445295257,0.9527530362545535
FS-A,NN:LSTM,0.9727831363157762,0.983653532139694,0.9755009242667525,0.9956367628666207,0.9726273994561305,0.9608577159604368,0.9952554413664695,0.94429599013071
FS-A,NN:MLP,0.9784845928141112,0.9874043795403489,0.9833378628187048,0.9940933363327045,0.9949146492152646,0.9553290509221368,0.9799412596168036,0.9151072272463536
FS-A,NN:Transformer,0.9789239236304572,0.9908417813160875,0.9791994295166964,0.9989299542504853,0.9978107995363036,0.9599331443233163,0.99633332238054,0.9532131803861625
FS-A,RandomForest,0.9757157679933635,0.9992459755213566,0.9898513446134287,0.9956493117859486,0.9930127925317004,0.961933381252247,0.9742248138910372,0.8450759505386578
FS-A,XGBoost,0.974262023247644,0.998778165016135,0.9900404126026037,0.9965295282655542,0.9956980646408107,0.9713075066069039,0.9882930710637758,0.8925224156074283
FS-B,CatBoost,0.9970427400560999,0.9965779359502086,0.999396592361257,0.9999870737917078,0.9998361290083969,0.9992831923885708,0.999605886429531,0.8270872514002533
FS-B,Ens:RankAvg-Hybrid,0.9797223341646353,0.9949362905025759,0.9832290668660819,0.9989956375846847,0.999341319489703,0.9985560096407786,0.9990052351494052,0.8758087671521393
FS-B,Ens:RankAvg-Trees,0.9943123121436284,0.9965281217768476,0.9984914367325373,0.9999856277112642,0.9998619528080452,0.9993810212194593,0.9995899383799668,0.8398296387892721
FS-B,Ens:Stack-Trees,0.9973654754546872,0.9959222411038264,0.9979533312558369,0.999969223736386,0.9998727502594313,0.9991239097275512,0.999590761093036,0.8353662202428898
FS-B,ExtraTrees,0.9972431420239892,0.9946672906985685,0.9974991925408514,0.9999649231019415,0.9998415275364937,0.998953778536372,0.9995384697626304,0.7966699059178779
FS-B,HistGB,0.9728290592658072,0.9961899472905134,0.9966608846415184,0.999951580469605,0.9997693413439468,0.9992616253473579,0.9995899589431368,0.8246030742859467
FS-B,IForest,0.711837903275385,0.9446205913426204,0.8498252451942968,0.9330986888185179,0.790797022356743,0.9588742631285712,0.8920784846608524,0.13310815919134206
FS-B,LightGBM,0.9940848515425587,0.996658480874806,0.9983681687926584,0.9999884876193672,0.9999314371438808,0.9993428367576624,0.9996316724343215,0.8400223220037095
FS-B,LogReg,0.8607637519738691,0.9544548313856054,0.9183828549506995,0.9973994251485166,0.951297600673741,0.980629678720049,0.9816382266992646,0.6631565068627135
FS-B,NN:CNN1D,0.9105438825061412,0.9890291878675702,0.9574118235201932,0.9877185671664999,0.9333823394014806,0.9722134905431611,0.9638001434488173,0.6951247402738543
FS-B,NN:LSTM,0.8795294222986159,0.976305964573909,0.9529742902642091,0.9937835458299774,0.9676408639438832,0.9961665318261601,0.9963282032446503,0.8690511672746726
FS-B,NN:MLP,0.8479425590432732,0.972720226198896,0.9028635485826297,0.9961669787572179,0.9817510565669116,0.9807191317699113,0.9875952044058643,0.7874420276566003
FS-B,NN:Transformer,0.8198389155939926,0.9704242031682822,0.8979475235097358,0.9818669466807628,0.9426339567104426,0.9789985738298588,0.9939989925149785,0.8853834922375423
FS-B,RandomForest,0.9973449561708059,0.9960278402745584,0.9982572849109108,0.999951183610837,0.9998277063851968,0.9988157073206712,0.9994875907260841,0.7993948150746835
FS-B,Rule:BusLoad,0.6709218633587963,0.9037992634398988,0.7678045990953895,0.7445929063473775,0.5594218354455825,0.8259323216718384,0.7226824888164507,0.12961640958739365
FS-B,Rule:Combined,0.8168325331425372,0.8788172806956769,0.9418405642503138,0.962157873518777,0.8047086422368346,0.9916775346671887,0.9984439006520398,0.1026394774924589
FS-B,Rule:CombinedQ,0.9899209096770165,0.809324361413378,0.997905267552792,0.7320593656079166,0.7593902108008976,0.9214550668099846,0.8765849998790598,0.11419302889390895
FS-B,Rule:Hamming,0.0145117874934535,0.13214088093781395,0.12995883737478003,0.7239737782558224,0.1877084781511002,0.3034655766957016,0.5794164786250664,0.11389011621058015
FS-B,Rule:IDEntropy,0.6847827252870986,0.7392066539999254,0.7826225053183034,0.5756962381945261,0.4655467178111291,0.6866482328081822,0.2813387698939115,0.11170967001414936
FS-B,Rule:Periodicity,0.014977168193274801,0.1478522698410887,0.08326039469922925,0.9326030998634064,0.8002949079436764,0.8606307989936232,0.8076295438100372,0.0956014115837401
FS-B,Rule:Staleness,0.969491032175062,0.7246637940617415,0.9761223826920193,0.21507143911048304,0.1173452649621737,0.183416391762936,0.1850485292661363,0.09294675391729235
FS-B,Rule:UnseenID,0.6837193514597766,0.680077186113788,0.7716793521047822,0.33440733535853107,0.3688872468197233,0.4280634555251214,0.5712061820243042,0.11421072050313849
FS-B,XGBoost,0.9939746090455963,0.9961192590205442,0.9976269938410378,0.9999785121608288,0.9997859909350835,0.9993584180450057,0.9995475468221725,0.8348579735879277
