feature_set,model,dos,fuzzing,spoofing,replay,diagnostic,timing,suspension,masquerade
FS-A,CatBoost,0.7847103988440578,0.17190134712725488,0.18393723012421478,0.0,0.0,0.1164012132638092,0.0,0.0
FS-A,Ens:RankAvg-Hybrid,0.9957504125386863,0.2760084937352347,0.1894818041252656,0.0,0.0,0.1266541908351682,0.0,0.0
FS-A,Ens:RankAvg-Trees,0.9218983179448549,0.2758685492232963,0.21807147100485544,0.0,0.0,0.12588743423913765,0.0,8.678295582747549e-05
FS-A,Ens:Stack-Trees,0.6164199806792675,0.08660661718365226,0.13996620515535385,0.0,0.0,0.012076300178529726,0.0,0.0
FS-A,ExtraTrees,0.8870709784021992,0.144790158937184,0.10724788601192152,0.0,0.0,0.04972720240767982,0.0,0.0
FS-A,HistGB,0.8636400145022021,0.24943831031809938,0.19658438621323274,0.0,0.0,0.12658978441413565,0.0,0.0
FS-A,IForest,0.2899438013258218,0.019363395225464174,0.00038339358089603336,0.5,0.0,0.0,0.0,0.0
FS-A,IForest@target,0.5873468831830111,0.039444374528064416,0.00124860296475895,0.3333333333333333,0.0,0.0009951246933046498,0.0,0.0
FS-A,LightGBM,0.9381285331688742,0.22201714550127333,0.21400516307079978,0.0,0.0,0.10418583761764914,0.0,0.0002603488674824
FS-A,LogReg,0.5472541881083615,0.18617362321615208,0.11550611659505056,0.0,0.0,0.08326767856438143,0.0,0.0
FS-A,NN:CNN1D,0.14262893655864903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS-A,NN:LSTM,0.45235513805659106,0.18403633348778375,0.12352437285248036,0.0,0.0,0.13561514733066174,0.0,0.0
FS-A,NN:MLP,0.5576716316833145,0.21662555628125618,0.15313606715606343,0.16666666666666666,0.0,0.1169864010776998,0.0,0.0
FS-A,NN:Transformer,0.4264003628006991,0.04622981884682185,0.15123838859564787,0.0,0.0,0.08561958543771497,0.0031446540880503,0.0
FS-A,RandomForest,0.9802865948989657,0.21553272324241401,0.15088913803498316,0.0,0.0,0.08850883372290178,0.0,0.0
FS-A,XGBoost,0.8520477561276892,0.25206025267265025,0.21586540726327286,0.0,0.0,0.12646543661787446,0.0,0.0
FS-B,CatBoost,0.977868792608335,0.6046489775149156,0.6009173641579174,0.8333333333333333,0.3,0.854281060474652,0.0,0.0
FS-B,Ens:RankAvg-Hybrid,0.999268521712558,0.5568064924625786,0.7306038678369869,0.6666666666666666,0.06666666666666667,0.8172831316947705,0.0,0.0
FS-B,Ens:RankAvg-Trees,0.9990748052708464,0.7180053989696032,0.6645597275559217,1.0,0.5333333333333333,0.851461250243293,0.0,0.0003471318233099
FS-B,Ens:Stack-Trees,0.9987072102223219,0.46716244730077083,0.6597881476766342,0.6666666666666666,0.0,0.8273795471580123,0.0,0.0001735659116549
FS-B,ExtraTrees,0.9987072102223219,0.4618625490931492,0.6077462865961106,0.6666666666666666,0.0,0.7929160742481223,0.0,0.0001735659116549
FS-B,HistGB,0.9997242063787689,0.888636861451705,0.6672902717968516,0.8333333333333333,0.7666666666666666,0.8350406074239693,0.0,0.0
FS-B,IForest,0.5490497673960727,0.017731440720558624,0.12107092794194689,0.0,0.0,0.0156633221850613,0.0011148272017836999,0.0
FS-B,IForest@target,0.4281746498094348,0.07024934332384622,0.14460299221977577,0.0,0.0,0.0608440956583019,0.0,0.0
FS-B,LightGBM,0.9994960000802751,0.7262982807306662,0.6509428997548219,0.8333333333333333,0.6,0.8198256644485524,0.0,0.0006942636466198
FS-B,LogReg,0.7141999264612772,0.5092564615637638,0.2952978731116207,0.6666666666666666,0.3333333333333333,0.30704934248159615,0.0011148272017836999,0.0
FS-B,NN:CNN1D,0.3634779520340067,0.0926837470955118,0.1333240729308145,0.3333333333333333,0.0,0.10471574820300587,0.0,0.0
FS-B,NN:LSTM,0.7717526530973716,0.2516130774859851,0.36640226777451007,0.5,0.0,0.2410766371436389,0.0011148272017836999,0.0
FS-B,NN:MLP,0.6761174024696232,0.6029866220560389,0.6176091475655888,0.5,0.03333333333333333,0.7197216464191316,0.0,0.0
FS-B,NN:Transformer,0.834774295645957,0.4007234383781961,0.5746959069233702,0.5,0.0,0.41344202099025024,0.0,0.0
FS-B,RandomForest,0.9965673023709238,0.5606346985569978,0.6410350175854078,0.6666666666666666,0.26666666666666666,0.8030348442519841,0.0,8.678295582747549e-05
FS-B,Rule:BusLoad,0.8646126706076466,0.14083769828039971,0.08872227032874136,0.3333333333333333,0.0,0.10041426964265748,0.0,0.0
FS-B,Rule:BusLoad@target,0.8646126706076466,0.14083769828039971,0.08872227032874136,0.3333333333333333,0.0,0.10041426964265748,0.0,0.0
FS-B,Rule:Combined,0.6225813492359118,0.4709071627768442,0.31172964979538836,0.8333333333333333,0.0,0.34964205387315705,0.0,0.0
FS-B,Rule:Combined@target,0.9989242063787689,0.556708770701681,0.42472855002833115,0.5,0.3333333333333333,0.49280288039594033,0.0,0.0
FS-B,Rule:CombinedQ,0.745208871824428,0.9996557311719584,0.03914369955488768,0.0,1.0,0.24739982394212046,0.0,0.0
FS-B,Rule:CombinedQ@target,0.9999524126772628,0.9996557311719584,0.5249151799034785,1.0,1.0,0.4979626330650499,0.42914536926021746,0.0
FS-B,Rule:Hamming,0.0,0.21702540862298156,0.0042384329618372005,0.0,0.0,0.08130311904064888,0.0,0.0
FS-B,Rule:Hamming@target,0.0,0.21702540862298156,0.0042384329618372005,0.0,0.0,0.08130311904064888,0.0,0.0
FS-B,Rule:IDEntropy,0.7132305115601489,0.0,0.057585578970550395,0.3333333333333333,0.0,0.02609672304439745,0.012820512820512801,0.0
FS-B,Rule:IDEntropy@target,0.7132305115601489,0.0,0.057585578970550395,0.3333333333333333,0.0,0.02609672304439745,0.012820512820512801,0.0
FS-B,Rule:Periodicity,0.23445560561436643,0.01328403931879605,0.20904959049007824,0.0,0.0,0.3521411442417023,0.0011148272017836999,0.0
FS-B,Rule:Periodicity@target,0.23445560561436643,0.01328403931879605,0.20904959049007824,0.0,0.0,0.3521411442417023,0.0011148272017836999,0.0
FS-B,Rule:Staleness,0.4091815364726076,0.0,0.0,0.0,0.0,0.0,0.5941397951242086,0.0
FS-B,Rule:Staleness@target,0.4091815364726076,0.0,0.0,0.0,0.0,0.0,0.5941397951242086,0.0
FS-B,Rule:UnseenID,0.5213748104805923,0.9057059299452809,0.0,0.0,1.0,0.17646046014710925,0.0,0.0
