feature_set,model,dos,fuzzing,spoofing,replay,diagnostic,timing,suspension,masquerade
FS-A,CatBoost,1.0,0.28125,0.5404761904761904,0.0,0.0,0.65625,0.0,0.0
FS-A,Ens:RankAvg-Hybrid,1.0,0.4375,0.5247252747252747,0.0,0.0,0.5572916666666667,0.0,0.0
FS-A,Ens:RankAvg-Trees,1.0,0.4375,0.5429070929070929,0.0,0.0,0.5989583333333333,0.0,0.0769230769230769
FS-A,Ens:Stack-Trees,0.8571428571428571,0.28125,0.29978354978354976,0.0,0.0,0.25,0.0,0.0
FS-A,ExtraTrees,1.0,0.375,0.44805194805194803,0.0,0.0,0.5885416666666667,0.0,0.0
FS-A,HistGB,1.0,0.4375,0.5017815517815517,0.0,0.0,0.53125,0.0,0.0
FS-A,IForest,0.42857142857142855,0.09375,0.011904761904761899,0.5,0.0,0.0,0.0,0.0
FS-A,IForest@target,0.7142857142857143,0.1875,0.20238095238095236,0.5,0.0,0.11458333333333333,0.0,0.0
FS-A,LightGBM,1.0,0.4375,0.5699633699633699,0.0,0.0,0.578125,0.0,0.1538461538461538
FS-A,LogReg,0.9642857142857143,0.375,0.36233766233766235,0.0,0.0,0.46875,0.0,0.0
FS-A,NN:CNN1D,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS-A,NN:LSTM,0.7857142857142857,0.28125,0.1551948051948052,0.0,0.0,0.4583333333333333,0.0,0.0
FS-A,NN:MLP,0.8571428571428571,0.375,0.33116883116883117,0.5,0.0,0.4583333333333333,0.0,0.0
FS-A,NN:Transformer,0.5714285714285714,0.21875,0.3116883116883116,0.0,0.0,0.34375,0.3333333333333333,0.0
FS-A,RandomForest,1.0,0.375,0.48008658008658006,0.0,0.0,0.609375,0.0,0.0
FS-A,XGBoost,0.8928571428571429,0.4375,0.503030303030303,0.0,0.0,0.5572916666666667,0.0,0.0
FS-B,CatBoost,1.0,0.75,0.8075091575091574,1.0,0.6666666666666666,1.0,0.0,0.0
FS-B,Ens:RankAvg-Hybrid,1.0,0.6875,0.8725274725274725,1.0,0.3333333333333333,1.0,0.0,0.0
FS-B,Ens:RankAvg-Trees,1.0,0.8125,0.8853479853479853,1.0,0.6666666666666666,1.0,0.0,0.1538461538461538
FS-B,Ens:Stack-Trees,1.0,0.5416666666666666,0.8468864468864469,1.0,0.0,1.0,0.0,0.1538461538461538
FS-B,ExtraTrees,1.0,0.5,0.8212454212454213,1.0,0.0,1.0,0.0,0.1538461538461538
FS-B,HistGB,1.0,0.875,0.8706959706959707,1.0,1.0,1.0,0.0,0.0
FS-B,IForest,0.7142857142857143,0.1875,0.15476190476190474,0.0,0.0,0.15625,0.3333333333333333,0.0
FS-B,IForest@target,0.5714285714285714,0.15625,0.2261904761904762,0.0,0.0,0.33333333333333337,0.0,0.0
FS-B,LightGBM,1.0,0.875,0.8725274725274725,1.0,1.0,1.0,0.0,0.4615384615384615
FS-B,LogReg,0.7142857142857143,0.53125,0.26904761904761904,1.0,0.3333333333333333,0.6770833333333334,0.3333333333333333,0.0
FS-B,NN:CNN1D,0.42857142857142855,0.09375,0.18333333333333335,0.5,0.0,0.171875,0.0,0.0
FS-B,NN:LSTM,0.8571428571428571,0.40625,0.5372294372294373,1.0,0.0,0.6770833333333333,0.3333333333333333,0.0
FS-B,NN:MLP,1.0,0.625,0.7452380952380953,0.5,0.3333333333333333,1.0,0.0,0.0
FS-B,NN:Transformer,1.0,0.4375,0.6782550782550784,0.5,0.0,0.7395833333333333,0.0,0.0
FS-B,RandomForest,1.0,0.6666666666666666,0.8340659340659341,1.0,0.3333333333333333,1.0,0.0,0.0769230769230769
FS-B,Rule:BusLoad,1.0,0.25,0.3835497835497836,0.5,0.0,0.5052083333333333,0.0,0.0
FS-B,Rule:BusLoad@target,1.0,0.25,0.3835497835497836,0.5,0.0,0.5052083333333333,0.0,0.0
FS-B,Rule:Combined,0.6428571428571429,0.4375,0.30952380952380953,1.0,0.0,0.5729166666666666,0.0,0.0
FS-B,Rule:Combined@target,1.0,0.46875,0.3655844155844155,0.5,0.3333333333333333,0.7552083333333334,0.0,0.0
FS-B,Rule:CombinedQ,0.9285714285714286,1.0,0.19047619047619047,0.0,1.0,0.38541666666666663,0.0,0.0
FS-B,Rule:CombinedQ@target,1.0,1.0,0.5967532467532468,1.0,1.0,0.8645833333333334,0.6666666666666666,0.0
FS-B,Rule:Hamming,0.0,0.34375,0.042207792207792194,0.0,0.0,0.375,0.0,0.0
FS-B,Rule:Hamming@target,0.0,0.34375,0.042207792207792194,0.0,0.0,0.375,0.0,0.0
FS-B,Rule:IDEntropy,0.7142857142857143,0.0,0.15476190476190477,1.0,0.0,0.08333333333333333,0.3333333333333333,0.0
FS-B,Rule:IDEntropy@target,0.7142857142857143,0.0,0.15476190476190477,1.0,0.0,0.08333333333333333,0.3333333333333333,0.0
FS-B,Rule:Periodicity,0.5,0.28125,0.3333333333333333,0.0,0.0,0.4895833333333333,0.3333333333333333,0.0
FS-B,Rule:Periodicity@target,0.5,0.28125,0.3333333333333333,0.0,0.0,0.4895833333333333,0.3333333333333333,0.0
FS-B,Rule:Staleness,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
FS-B,Rule:Staleness@target,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
FS-B,Rule:UnseenID,0.6071428571428571,0.8125,0.0,0.0,1.0,0.24999999999999997,0.0,0.0
FS-B,Rule:UnseenID@target,0.6071428571428571,0.8125,0.0,0.0,1.0,0.24999999999999997,0.0,0.0
FS-B,XGBoost,1.0,0.8125,0.8468864468864469,1.0,0.6666666666666666,1.0,0.0,0.0769230769230769
