feature_set,model,dos,fuzzing,spoofing,replay,diagnostic,timing,suspension,masquerade
FS-A,CatBoost,0.875484648092115,0.22725871878194073,0.21643865155101025,0.0,0.0,0.14693433278470627,0.0,8.678295582747549e-05
FS-A,Ens:RankAvg-Hybrid,0.9976937438211791,0.29352471689456,0.2641876233590295,0.0,0.0,0.1454980504563078,0.0,0.0003471318233099
FS-A,Ens:RankAvg-Trees,0.9783257034671295,0.3024622947637601,0.26166455407257555,0.0,0.0,0.15069219802626976,0.0,0.0006074806907923
FS-A,Ens:Stack-Trees,0.7846243356805481,0.14464234824466646,0.1553329783678478,0.0,0.03333333333333333,0.0207954818305834,0.004716981132075466,8.678295582747549e-05
FS-A,ExtraTrees,0.9195385546306409,0.18538738689921894,0.1297026250008552,0.0,0.03333333333333333,0.07591089910517257,0.0015723270440251335,8.678295582747549e-05
FS-A,HistGB,0.8795430311872531,0.28138549554819137,0.24094263660481938,0.0,0.0,0.13725998344590734,0.0,0.001475310249067
FS-A,IForest,0.31233498497342,0.023123992225537925,0.0023003614853762664,0.5,0.0,0.0039794668276581496,0.0064102564102564005,0.0
FS-A,IForest@target,0.796544197269192,0.17811065670007664,0.026958194167845683,0.3333333333333333,0.03333333333333333,0.045371931069382726,0.04160619254958873,0.0
FS-A,LightGBM,0.9680810314117139,0.27364865062100796,0.25962040631801847,0.0,0.0,0.12612946294003008,0.0,0.0006942636466198
FS-A,LogReg,0.5961642893861849,0.21591290735069674,0.13493442512452736,0.0,0.0,0.09421074638320111,0.004716981132075466,0.0
FS-A,NN:CNN1D,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
FS-A,NN:LSTM,0.6145812147113948,0.24930335194327974,0.2834682631292003,0.0,0.0,0.17105630127609267,0.0033444816053511666,0.0
FS-A,NN:MLP,0.640059671405802,0.25144841773970583,0.16397847307238994,0.16666666666666666,0.0,0.12760606924512213,0.0,0.0
FS-A,NN:Transformer,0.4377074152419288,0.10417549515593703,0.3234455138688361,0.0,0.03333333333333333,0.13492000644411228,0.015723270440251565,0.0
FS-A,RandomForest,0.9979457899921618,0.27260958663919493,0.18142557913373583,0.0,0.0,0.122818282796734,0.0026871542458088335,0.0006074806907923
FS-A,XGBoost,0.8661535025820074,0.28525502551804605,0.25856427555459993,0.0,0.0,0.15118278375203686,0.0,8.678295582747549e-05
FS-B,CatBoost,0.9986314901398137,0.7241813314536838,0.7169619334291499,0.8333333333333333,0.43333333333333335,0.9763539965258873,0.0064102564102564005,0.0005206977349648
FS-B,Ens:RankAvg-Hybrid,0.9995439513684007,0.5820476791907147,0.799268820403118,0.8333333333333333,0.3,0.9304765744273824,0.0011148272017836999,0.0
FS-B,Ens:RankAvg-Trees,0.9993157450699067,0.7819321101498767,0.7775214190976282,1.0,0.6666666666666666,0.9714167273675877,0.0,0.0019092250282044
FS-B,Ens:Stack-Trees,0.9990879027368013,0.5180479688226105,0.789751547116452,1.0,0.06666666666666667,0.9705192074695983,0.0,0.0017356591165495
FS-B,ExtraTrees,0.9990879027368013,0.5020653230599789,0.768137323710866,1.0,0.0,0.9711515037764215,0.0,0.0011281784257571
FS-B,HistGB,0.9997717937015062,0.9292546884872641,0.7530031658788187,0.8333333333333333,1.0,0.9593188002026132,0.0033444816053511666,0.001648876160722
FS-B,IForest,0.7139113993394793,0.19264857890888085,0.29254176229095996,0.5,0.0,0.18556833376717297,0.0205243894743484,0.0
FS-B,IForest@target,0.8038321361607327,0.20300989644035408,0.31462531779729863,0.8333333333333333,0.0,0.25049741997718167,0.0011148272017836999,0.0
FS-B,LightGBM,0.9997717937015062,0.7698363167602645,0.7929221497312423,1.0,0.7333333333333334,0.9573045106838942,0.0011148272017836999,0.0025167057189967
FS-B,LogReg,0.7142381269629771,0.5226000282541864,0.40097982400511406,0.8333333333333333,0.3333333333333333,0.5287959391106603,0.0011148272017836999,0.0
FS-B,NN:CNN1D,0.770948374114204,0.4716031517456065,0.6289103477695658,0.8333333333333333,0.03333333333333333,0.5784961479035433,0.01672240802675583,0.0
FS-B,NN:LSTM,0.8558258079317517,0.5562477026603464,0.6868724285311855,0.8333333333333333,0.03333333333333333,0.5633174559969899,0.0026871542458088335,0.0
FS-B,NN:MLP,0.8229716026924703,0.6369120557828526,0.6992496551304451,0.5,0.03333333333333333,0.828777626525543,0.0011148272017836999,0.0
FS-B,NN:Transformer,0.9939776443465307,0.5689338934664414,0.7820920830054198,0.8333333333333333,0.13333333333333333,0.5341344805175875,0.0038019814475925666,0.0012149613815846
FS-B,RandomForest,0.9986555964638529,0.6480048162390373,0.739149562104002,1.0,0.4000000000000001,0.9759162854334745,0.0,0.0018224420723769
FS-B,Rule:BusLoad,0.9323402622627175,0.17851530252597103,0.11694819639520514,0.3333333333333333,0.0,0.13770406743602695,0.0,0.0007810466024472
FS-B,Rule:BusLoad@target,0.9323402622627175,0.17851530252597103,0.11694819639520514,0.3333333333333333,0.0,0.13770406743602695,0.0,0.0007810466024472
