model,mean_rank,best_rank,worst_rank,rank_range,mean_metric,min_metric,max_metric
LightGBM,4.75,1.0,9.0,8.0,0.8864480799421398,0.3294719884318628,0.9996213012903582
Ens:RankAvg-Trees,5.375,3.0,10.0,7.0,0.8815720014545444,0.3182443977599181,0.99964624767473
HistGB,5.625,2.0,9.0,7.0,0.8863787616164657,0.3342966551675424,0.9997081661816783
Ens:RankAvg-Hybrid,6.375,1.0,12.0,11.0,0.8818691711363614,0.4075053115557315,0.999753157381606
XGBoost,7.125,4.0,12.0,8.0,0.8787967510347341,0.3118448696942192,0.999626230222597
Ens:Stack-Trees,7.25,1.0,14.0,13.0,0.8735251679180952,0.324657514810101,0.9994865865159068
RandomForest,7.75,2.0,14.0,12.0,0.8645541761135029,0.2654427414894261,0.999785228531863
CatBoost,8.375,1.0,16.0,15.0,0.8578922860319117,0.2842853679657814,0.999793431140952
ExtraTrees,9.5,3.0,21.0,18.0,0.8576442464506718,0.3929995940272756,0.9994400050672658
NN:Transformer,12.5,1.0,19.0,18.0,0.870386591071064,0.5961685112383303,0.9971912746111178
NN:CNN1D,12.625,3.0,17.0,14.0,0.8540667976358922,0.4206739739553241,0.9971632633457248
Rule:Combined,12.75,5.0,21.0,16.0,0.819295166279861,0.2857610205595409,0.9991399824679196
NN:MLP,13.25,10.0,18.0,8.0,0.8395166053926233,0.2519441599006934,0.9989719713134654
Rule:Combined@target,13.625,5.0,22.0,17.0,0.8049602331097889,0.1146759605251016,0.9992469344563524
LogReg,14.5,6.0,20.0,14.0,0.8174830773773506,0.3379508184200794,0.9900933310716966
IForest@target,15.125,11.0,19.0,8.0,0.7961326517952572,0.1810931135909733,0.9756035017580168
NN:LSTM,15.625,2.0,28.0,26.0,0.8196048744164925,0.5035967736030614,0.9967300487148932
Rule:CombinedQ@target,17.3125,3.0,24.5,21.5,0.7330511512443865,0.1142153508937347,0.9537124702477972
IForest,18.875,11.0,32.0,21.0,0.6714074629842784,0.118323278669653,0.9334310757161014
Rule:CombinedQ,21.4375,2.0,28.0,26.0,0.5839607781876159,0.1142153508937347,0.961468771007608
Rule:BusLoad,22.625,16.5,27.5,11.0,0.6664793282110872,0.1247288482786936,0.9116922848166452
Rule:BusLoad@target,22.625,16.5,27.5,11.0,0.6664793282110872,0.1247288482786936,0.9116922848166452
Rule:Staleness,22.875,1.5,31.5,30.0,0.434609105393821,0.1002288178645334,0.9757706741377602
Rule:Staleness@target,22.875,1.5,31.5,30.0,0.434609105393821,0.1002288178645334,0.9757706741377602
Rule:Periodicity@target,23.875,17.0,31.5,14.5,0.469865233707419,0.0147478625105352,0.9342449638653284
Rule:IDEntropy@target,24.0,18.5,29.5,11.0,0.5455506343937736,0.1286277808573029,0.7808537476510807
Rule:IDEntropy,24.0,18.5,29.5,11.0,0.5455506343937736,0.1286277808573029,0.7808537476510807
Rule:Periodicity,24.125,17.0,31.5,14.5,0.46986522889562965,0.0147478625105352,0.9342449638827048
Rule:UnseenID,26.375,24.5,29.5,5.0,0.49404014592710077,0.1142153508937347,0.771680782323325
Rule:UnseenID@target,26.375,24.5,29.5,5.0,0.49404014592710077,0.1142153508937347,0.771680782323325
Rule:Hamming@target,29.25,24.5,31.5,7.0,0.264292856685992,0.0132023227812456,0.7306684680448543
Rule:Hamming,29.25,24.5,31.5,7.0,0.264292856685992,0.0132023227812456,0.7306684680448543
