feature_set,model,pr_auc_all,pr_auc_no_masq,roc_auc_all,roc_auc_no_masq
FS-A,IForest,0.10783930611277145,0.06158801604102923,0.5006147726097728,0.4946501438049803
FS-A,IForest@target,0.13693388003856516,0.08523782633335159,0.5896814320161206,0.6118815737744376
FS-A,LogReg,0.10561478511977143,0.06564413827288178,0.4847789107193996,0.5143507129306769
FS-A,RandomForest,0.12013958170723894,0.07195920324980329,0.5264118795528715,0.5296912743234061
FS-A,ExtraTrees,0.09147137133029404,0.05177238444444485,0.45018360523961587,0.4580568926276872
FS-A,HistGB,0.1134232986700708,0.06632166111924631,0.4900620150372613,0.48951300687126925
FS-A,XGBoost,0.10167449558109293,0.05899908819492666,0.474628339260919,0.4728363536294399
FS-A,LightGBM,0.10759126171728234,0.06439408972825887,0.49938810137391926,0.5075367554234319
FS-A,CatBoost,0.12067095175877826,0.07720677855655163,0.5375710527804771,0.5751834547349768
FS-A,NN:MLP,0.09169042644785699,0.04771893498512428,0.44491094009498566,0.41417410702329577
FS-A,NN:CNN1D,0.10515208494635549,0.0588645356076595,0.5000568516074174,0.5000587388013198
FS-A,NN:LSTM,0.1469554949591305,0.1194611952934967,0.5761419932334743,0.6385341663757913
FS-A,NN:Transformer,0.11280344443737239,0.08583033162590714,0.4769948450756252,0.5238443257019719
FS-A,Ens:RankAvg-Trees,0.10858107589410092,0.06462408996403435,0.4960912394885271,0.5002418262675674
FS-A,Ens:Stack-Trees,0.09255210257783972,0.05255517087028265,0.4562495723566035,0.46438569686234465
FS-A,Ens:RankAvg-Hybrid,0.1013184026691055,0.056902969047072344,0.4768536019957833,0.4680852036569847
FS-B,IForest,0.1753041104725406,0.15734254004256254,0.6834781476348375,0.822674636372504
FS-B,IForest@target,0.18109311373435993,0.18749558032970604,0.6556688135320685,0.8282967023546525
FS-B,LogReg,0.3379508184200794,0.4421603093097757,0.7492108235161025,0.9342184555733539
FS-B,RandomForest,0.2654432337331728,0.29964820513213986,0.7398616538923917,0.90296026534303
FS-B,ExtraTrees,0.392997949795834,0.540111635127991,0.770163832298376,0.9622458002303538
FS-B,HistGB,0.3342860210804512,0.43090021081317686,0.7540829779105034,0.9266846905700552
FS-B,XGBoost,0.31184486969421926,0.38867447346664263,0.7525644389352844,0.926013297761118
FS-B,LightGBM,0.32941116258871456,0.41661228455103977,0.7603075859320392,0.9317636710594953
FS-B,CatBoost,0.2842849435611635,0.3398244148539936,0.7446284438263342,0.9192810212530922
FS-B,NN:MLP,0.2519441599006934,0.2984080887205821,0.7017216378303193,0.8730174038054866
FS-B,NN:CNN1D,0.42067397395532413,0.6078265717811469,0.7672729417738285,0.9492459358094156
FS-B,NN:LSTM,0.5035967736030614,0.7581575397096065,0.7888603269711881,0.9808691120627866
FS-B,NN:Transformer,0.5961685112383303,0.9120874597278069,0.8111693361514531,0.9938037305932725
FS-B,Ens:RankAvg-Trees,0.3182313651692121,0.40016617800351817,0.7539895773925792,0.9277595587810697
FS-B,Ens:Stack-Trees,0.3246560883245727,0.40725890085366784,0.7607817289681507,0.9350578700714435
FS-B,Ens:RankAvg-Hybrid,0.4075047249535767,0.5824896075442978,0.7660677447103257,0.9656235760306391
FS-B,Rule:Periodicity,0.11280175839772864,0.06338804966046757,0.4833554910986278,0.4810832452920162
FS-B,Rule:UnseenID,0.11421535089373472,0.07738262842417987,0.5050700551184415,0.5098415550473702
FS-B,Rule:BusLoad,0.1247288482786936,0.08334753155227842,0.5683221337317228,0.6203574550284113
FS-B,Rule:IDEntropy,0.12862778085730298,0.09270994990809323,0.5501029260671947,0.5993535391227849
FS-B,Rule:Hamming,0.08764301523552802,0.05583136768794915,0.4438306890408849,0.49246533830868044
FS-B,Rule:Staleness,0.10022881786453347,0.0545614979489394,0.48867129979919866,0.4804199589682904
FS-B,Rule:Combined,0.2857610205595409,0.3732326893827818,0.7351477947008022,0.9304561895862339
FS-B,Rule:CombinedQ,0.11421535089373472,0.07738262842417987,0.5049893125465682,0.5097589364783319
FS-B,Rule:Periodicity@target,0.11280175839772864,0.06338804966046757,0.4833554910986278,0.4810832452920162
FS-B,Rule:UnseenID@target,0.11421535089373472,0.07738262842417987,0.5050700551184415,0.5098415550473702
FS-B,Rule:BusLoad@target,0.1247288482786936,0.08334753155227842,0.5683221337317228,0.6203574550284113
FS-B,Rule:IDEntropy@target,0.12862778085730298,0.09270994990809323,0.5501029260671947,0.5993535391227849
FS-B,Rule:Hamming@target,0.08764301523552802,0.05583136768794915,0.4438306890408849,0.49246533830868044
FS-B,Rule:Staleness@target,0.10022881786453347,0.0545614979489394,0.48867129979919866,0.4804199589682904
FS-B,Rule:Combined@target,0.11467595948100573,0.07876869678520056,0.5555930618366158,0.6347643637456727
FS-B,Rule:CombinedQ@target,0.11421535089373472,0.07738262842417987,0.5048841025286729,0.5096512819792822
